fila_csv;destino_original;destino_normalizado;motivo;origen_original;origen_normalizado;especie_original;variedad_original;peso;unidad
28616;MENDOZA;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";MENDOZA;Mendoza;ACEITUNA;SIN VARIED;0,305;TN
28617;MENDOZA;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";MENDOZA;Mendoza;ACEITUNA;SIN VARIED;3,491;TN
28618;MENDOZA;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";MENDOZA;Mendoza;ACEITUNA;SIN VARIED;1,050;TN
28619;MENDOZA;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";MENDOZA;Mendoza;ACEITUNA;SIN VARIED;0,125;TN
28620;MENDOZA;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";MENDOZA;Mendoza;ACEITUNA;SIN VARIED;0,125;TN
28621;MENDOZA;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";MENDOZA;Mendoza;ACEITUNA;ARVEQUINA;0,095;TN
28622;ECUADOR;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";ECUADOR;Ecuador;ANANA;GOLD;23,625;TN
28623;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PEROLA;1,080;TN
28624;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PEROLA;5,880;TN
28625;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIDA;3,240;TN
28626;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIDA;0,600;TN
28627;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIDA;5,580;TN
28628;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIDA;5,900;TN
28629;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIDA;1,000;TN
28630;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIDA;2,800;TN
28631;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIDA;0,750;TN
28632;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIDA;10,560;TN
28633;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIDA;73,804;TN
28634;COLOMBIA;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";COLOMBIA;Colombia;ANANA;PIDA;0,480;TN
28635;COLOMBIA;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";COLOMBIA;Colombia;ANANA;PIDA;1,200;TN
28636;ECUADOR;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";ECUADOR;Ecuador;ANANA;PIDA;5,616;TN
28637;ECUADOR;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";ECUADOR;Ecuador;ANANA;PIDA;24,120;TN
28638;ECUADOR;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";ECUADOR;Ecuador;ANANA;PIDA;85,542;TN
28639;ECUADOR;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";ECUADOR;Ecuador;ANANA;PIDA;14,975;TN
28640;ECUADOR;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";ECUADOR;Ecuador;ANANA;PIDA;12,333;TN
28641;ECUADOR;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";ECUADOR;Ecuador;ANANA;PIDA;9,200;TN
28642;ECUADOR;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";ECUADOR;Ecuador;ANANA;PIDA;32,000;TN
28643;ECUADOR;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";ECUADOR;Ecuador;ANANA;PIDA;48,028;TN
28644;ECUADOR;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";ECUADOR;Ecuador;ANANA;PIDA;30,971;TN
28645;ECUADOR;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";ECUADOR;Ecuador;ANANA;PIDA;87,841;TN
28646;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIDACAYENA;5,400;TN
28647;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIÑA;0,150;TN
28648;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIÑA;4,248;TN
28649;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIÑA;14,920;TN
28650;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIÑA;3,000;TN
28651;BRASIL;;"valor no reconocido como mercado de cantidades; parece origen/procedencia";BRASIL;Brasil;ANANA;PIÑA;2,160;TN
