fila_csv;especie_original;variedad_original;producto_normalizado;tipo_caso;origen;destino_original;destino_normalizado;peso;fecha
47;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;1,800;02/01/2025
48;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;1,152;02/01/2025
49;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;1,800;02/01/2025
50;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Mendoza;CORRIENTES;Corrientes;1,152;02/01/2025
159;TOMATE CHERRY;TOMATE CHERRY;Tomate Cherry;tomate_especifico;Mendoza;CORRIENTES;Corrientes;0,125;06/01/2025
160;TOMATE CHERRY;TOMATE CHERRY;Tomate Cherry;tomate_especifico;Chaco;CORRIENTES;Corrientes;0,200;06/01/2025
161;TOMATE CHERRY;TOMATE CHERRY;Tomate Cherry;tomate_especifico;Jujuy;CORRIENTES;Corrientes;0,310;06/01/2025
162;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Corrientes;CORRIENTES;Corrientes;0,300;06/01/2025
163;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;3,200;06/01/2025
164;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Chaco;CORRIENTES;Corrientes;0,120;06/01/2025
165;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;3,000;06/01/2025
166;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Jujuy;CORRIENTES;Corrientes;2,000;06/01/2025
167;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Corrientes;CORRIENTES;Corrientes;0,648;06/01/2025
168;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Corrientes;CORRIENTES;Corrientes;0,300;06/01/2025
169;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;2,250;06/01/2025
170;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Mendoza;CORRIENTES;Corrientes;2,000;06/01/2025
171;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Jujuy;CORRIENTES;Corrientes;0,620;06/01/2025
172;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Corrientes;CORRIENTES;Corrientes;0,648;06/01/2025
279;TOMATE CHERRY;TOMATE CHERRY;Tomate Cherry;tomate_especifico;Mendoza;CORRIENTES;Corrientes;0,500;09/01/2025
280;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Jujuy;CORRIENTES;Corrientes;2,000;09/01/2025
281;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;1,500;09/01/2025
282;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;5,000;09/01/2025
283;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;6,000;09/01/2025
284;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;1,008;09/01/2025
285;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Jujuy;CORRIENTES;Corrientes;1,400;09/01/2025
286;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Corrientes;CORRIENTES;Corrientes;0,220;09/01/2025
287;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;1,500;09/01/2025
288;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Mendoza;CORRIENTES;Corrientes;2,000;09/01/2025
289;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Mendoza;CORRIENTES;Corrientes;0,960;09/01/2025
290;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Mendoza;CORRIENTES;Corrientes;1,008;09/01/2025
389;TOMATE CHERRY;TOMATE CHERRY;Tomate Cherry;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;0,200;13/01/2025
390;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Jujuy;CORRIENTES;Corrientes;0,800;13/01/2025
391;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Santa Fe;CORRIENTES;Corrientes;1,000;13/01/2025
392;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;3,000;13/01/2025
393;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Corrientes;CORRIENTES;Corrientes;2,000;13/01/2025
394;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;1,000;13/01/2025
395;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Corrientes;CORRIENTES;Corrientes;2,000;13/01/2025
396;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;0,200;13/01/2025
463;TOMATE CHERRY;TOMATE CHERRY;Tomate Cherry;tomate_especifico;Corrientes;CORRIENTES;Corrientes;0,020;16/01/2025
464;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;0,100;16/01/2025
465;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Jujuy;CORRIENTES;Corrientes;1,200;16/01/2025
466;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;1,280;16/01/2025
467;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;2,240;16/01/2025
468;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;3,400;16/01/2025
469;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;6,000;16/01/2025
470;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Corrientes;CORRIENTES;Corrientes;2,400;16/01/2025
471;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;0,300;16/01/2025
472;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Jujuy;CORRIENTES;Corrientes;2,400;16/01/2025
474;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Mendoza;CORRIENTES;Corrientes;2,240;16/01/2025
475;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Mendoza;CORRIENTES;Corrientes;3,400;16/01/2025
555;TOMATE CHERRY;TOMATE CHERRY;Tomate Cherry;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;0,100;20/01/2025
556;TOMATE CHERRY;TOMATE CHERRY;Tomate Cherry;tomate_especifico;Mendoza;CORRIENTES;Corrientes;0,780;20/01/2025
557;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Jujuy;CORRIENTES;Corrientes;2,160;20/01/2025
558;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;2,700;20/01/2025
559;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Corrientes;CORRIENTES;Corrientes;5,400;20/01/2025
560;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;6,000;20/01/2025
561;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;4,000;20/01/2025
562;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Jujuy;CORRIENTES;Corrientes;2,160;20/01/2025
563;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;2,000;20/01/2025
564;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Corrientes;CORRIENTES;Corrientes;3,600;20/01/2025
565;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Mendoza;CORRIENTES;Corrientes;0,900;20/01/2025
566;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Mendoza;CORRIENTES;Corrientes;3,000;20/01/2025
648;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;14,080;27/01/2025
649;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Jujuy;CORRIENTES;Corrientes;2,400;27/01/2025
650;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Santa Fe;CORRIENTES;Corrientes;1,000;27/01/2025
651;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;3,000;27/01/2025
652;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Jujuy;CORRIENTES;Corrientes;3,000;27/01/2025
653;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Mendoza;CORRIENTES;Corrientes;1,000;27/01/2025
699;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;0,900;30/01/2025
700;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;14,080;30/01/2025
701;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Mendoza;CORRIENTES;Corrientes;3,000;30/01/2025
702;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Jujuy;CORRIENTES;Corrientes;2,400;30/01/2025
703;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Mendoza;CORRIENTES;Corrientes;0,810;30/01/2025
704;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Mendoza;CORRIENTES;Corrientes;1,000;30/01/2025
705;TOMATE REDONDO;TOMATE REDONDO;Tomate Redondo;tomate_especifico;Jujuy;CORRIENTES;Corrientes;3,000;30/01/2025
778;TOMATE CHERRY;TOMATE CHERRY;Tomate Cherry;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;0,200;03/02/2025
779;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Buenos Aires;CORRIENTES;Corrientes;2,000;03/02/2025
780;TOMATE PERITA;TOMATE PERITA;Tomate Perita;tomate_especifico;Jujuy;CORRIENTES;Corrientes;2,400;03/02/2025
