fecha;año;mes;rubro;especie;variedad;mercado;procedencia;localidad_corrientes;envase;kg_bulto;total_kilos;unidad;precio;precio_min;precio_max;precio_promedio;archivo_origen
2024-12-29;2024;Diciembre;Subproductos;Aceitunas Verdes;;Mercado de Corrientes;Corrientes;Capital;Frasco X 1,5 Kg;1.5;0;$/Kg;;;;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Aceitunas Verdes;;Mercado de Corrientes;Corrientes;Capital;Envase X 5 Kg;5;0;$/Kg;;;;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Hortalizas;Acelga;;Mercado de Corrientes;Corrientes;Capital;Doc. De Mazo X 10 Kg;10;0;$/Kg;8000.0;8000.0;15000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Hortalizas;Acelga;;Mercado de Corrientes;Corrientes;Capital;Ristra X 4 Kg;4;0;$/Kg;13500.0;13500.0;15000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Adobo Pizza;;Mercado de Corrientes;Corrientes;Capital;Bolsa X 1 Kg;1;0;$/Kg;500.0;500.0;530.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Aji En Molido;;Mercado de Corrientes;Corrientes;Capital;Envase X 1 Kg;1;0;$/Kg;10000.0;10000.0;12000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Aji Picante;;Mercado de Corrientes;Corrientes;Capital;Envase X 1 Kg;1;0;$/Kg;400.0;400.0;500.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Hortalizas;Ajo Morado Chino;;Mercado de Corrientes;Corrientes;Capital;Fardo X 8 Kg;8;0;$/Kg;20000.0;20000.0;24000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Hortalizas;Albahaca;;Mercado de Corrientes;Corrientes;Capital;Doc. De Mazo X 1 Kg;1;0;$/Kg;4000.0;4000.0;4000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Almendra;;Mercado de Corrientes;Corrientes;Capital;Bolsa X 1 Kg;1;0;$/Kg;11500.0;11500.0;14000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Almendra Pelada;;Mercado de Corrientes;Corrientes;Capital;Caja X 300 Gs;0.3;0;$/Kg;;;;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Almidon De Mandioca;;Mercado de Corrientes;Corrientes;Capital;Bolsa X 25 Kg;25;0;$/Kg;17000.0;17000.0;17000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Anana Desecado;;Mercado de Corrientes;Corrientes;Capital;Bolsa X 1 Kg;1;0;$/Kg;;;;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Frutas;Anana Piña Brasil;;Mercado de Corrientes;Corrientes;Capital;Caja X 20 Kg;20;0;$/Kg;30000.0;30000.0;30000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Frutas;Anana Piña Ecuador;;Mercado de Corrientes;Corrientes;Capital;Caja X 12 Kg;12;0;$/Kg;36000.0;36000.0;46000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Frutas;Anana Piña Paraguay;;Mercado de Corrientes;Corrientes;Capital;Caja X 18 Kg;18;0;$/Kg;23000.0;23000.0;25000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Anis;;Mercado de Corrientes;Corrientes;Capital;Bolsa X 1 Kg;1;0;$/Kg;6500.0;6500.0;6600.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Hortalizas;Apio De Hoja;;Mercado de Corrientes;Corrientes;Capital;Mazo X 1 Kg;1;0;$/Kg;;;;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Hortalizas;Apio De Hoja;;Mercado de Corrientes;Corrientes;Capital;Bolsa X 1 Kg;1;0;$/Kg;20000.0;20000.0;25000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Frutas;Arandano;;Mercado de Corrientes;Corrientes;Capital;Caja X 2 Kg;2;0;$/Kg;16000.0;16000.0;21000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Arroz Fortuna;;Mercado de Corrientes;Corrientes;Capital;Bolsa X 10 Kg;10;0;$/Kg;35000.0;35000.0;35000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Arroz Largo Fino;;Mercado de Corrientes;Corrientes;Capital;Bolsa X 1 Kg;1;0;$/Kg;31000.0;31000.0;31000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Hortalizas;Arveja;;Mercado de Corrientes;Corrientes;Capital;Bolsa X 12 Kg;12;0;$/Kg;3000.0;3000.0;3000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Arveja Partida;;Mercado de Corrientes;Corrientes;Capital;Bolsa X 5 Kg;5;0;$/Kg;1600.0;1600.0;1600.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Subproductos;Avena;;Mercado de Corrientes;Corrientes;Capital;Bolsa X 1 Kg;1;0;$/Kg;2300.0;2300.0;5000.0;;MARTIN MICELLI 26-08-2026.xlsx
2024-12-29;2024;Diciembre;Frutas;Banana Ecuatoriana;;Mercado de Corrientes;Corrientes;Capital;Caja X 20 Kg;20;0;$/Kg;32000.0;32000.0;33000.0;;MARTIN MICELLI 26-08-2026.xlsx
