FECHA;MERCADO;SERIE;ESPECIE;VARIEDAD;PROCEDENCIA;MUNICIPIO;PESO;UNIDAD
02/01/2025;CORRIENTES;HORTALIZAS;ACELGA;ACELGA;BUENOS AIRES;;0,600;TN
02/01/2025;CORRIENTES;HORTALIZAS;AJO MORADO CHINO;AJO MORADO CHINO;MENDOZA;;0,125;TN
02/01/2025;CORRIENTES;FRUTAS;BANANA  ECUATORIANA;BANANA  ECUATORIANA;MENDOZA;;1,000;TN
02/01/2025;CORRIENTES;FRUTAS;BANANA  ECUATORIANA;BANANA  ECUATORIANA;MENDOZA;;1,600;TN
02/01/2025;CORRIENTES;FRUTAS;BANANA PARAGUAYA;BANANA PARAGUAYA;MENDOZA;;3,300;TN
02/01/2025;CORRIENTES;HORTALIZAS;BATATA COLORADA;BATATA COLORADA;MENDOZA;;1,000;TN
02/01/2025;CORRIENTES;HORTALIZAS;BERENJENA;BERENJENA;BUENOS AIRES;;0,540;TN
02/01/2025;CORRIENTES;HORTALIZAS;BROCOLI;BROCOLI;MENDOZA;;0,150;TN
02/01/2025;CORRIENTES;HORTALIZAS;CEBOLLA BLANCA;CEBOLLA BLANCA;MENDOZA;;0,200;TN
02/01/2025;CORRIENTES;HORTALIZAS;CEBOLLA BLANCA;CEBOLLA BLANCA;MENDOZA;;0,600;TN
02/01/2025;CORRIENTES;FRUTAS;CEREZA;CEREZA;MENDOZA;;0,200;TN
02/01/2025;CORRIENTES;FRUTAS;CIRUELA;CIRUELA;MENDOZA;;0,400;TN
02/01/2025;CORRIENTES;FRUTAS;CIRUELA;CIRUELA;MENDOZA;;1,000;TN
02/01/2025;CORRIENTES;FRUTAS;CIRUELA;CIRUELA;MENDOZA;;1,000;TN
02/01/2025;CORRIENTES;HORTALIZAS;COLIFLOR;COLIFLOR;MENDOZA;;0,075;TN
02/01/2025;CORRIENTES;FRUTAS;DURAZNO;DURAZNO;MENDOZA;;0,600;TN
02/01/2025;CORRIENTES;FRUTAS;DURAZNO;DURAZNO;MENDOZA;;0,600;TN
02/01/2025;CORRIENTES;FRUTAS;DURAZNO;DURAZNO;MENDOZA;;1,000;TN
02/01/2025;CORRIENTES;FRUTAS;DURAZNO;DURAZNO;MENDOZA;;0,640;TN
02/01/2025;CORRIENTES;HORTALIZAS;ESPINACA;ESPINACA;BUENOS AIRES;;0,300;TN
02/01/2025;CORRIENTES;SUBPRODUCTOS;HUEVO B1;HUEVO B1;CORRIENTES;CAPITAL;0,800;TN
02/01/2025;CORRIENTES;SUBPRODUCTOS;HUEVO B2;HUEVO B2;CORRIENTES;CAPITAL;0,200;TN
02/01/2025;CORRIENTES;FRUTAS;KIWI;KIWI;MENDOZA;;0,400;TN
02/01/2025;CORRIENTES;FRUTAS;KIWI;KIWI;MENDOZA;;0,200;TN
02/01/2025;CORRIENTES;HORTALIZAS;LECHUGA CRESPA;LECHUGA CRESPA;BUENOS AIRES;;1,000;TN
02/01/2025;CORRIENTES;HORTALIZAS;LECHUGA MANTECOSA;LECHUGA MANTECOSA;BUENOS AIRES;;1,500;TN
02/01/2025;CORRIENTES;HORTALIZAS;LECHUGA REPOLLADA;LECHUGA REPOLLADA;BUENOS AIRES;;1,200;TN
02/01/2025;CORRIENTES;FRUTAS;LIMON ELEGIDO;LIMON ELEGIDO;MENDOZA;;0,968;TN
02/01/2025;CORRIENTES;FRUTAS;MANZANA GRANY SMITH ELEGIDA;MANZANA GRANY SMITH ELEGIDA;MENDOZA;;0,100;TN
02/01/2025;CORRIENTES;FRUTAS;MANZANA R. DELICIUS ELEGIDA;MANZANA R. DELICIUS ELEGIDA;MENDOZA;;0,900;TN
02/01/2025;CORRIENTES;FRUTAS;NARANJA VALENCIA LATE;NARANJA VALENCIA LATE;CORRIENTES;MONTE CASEROS;8,750;TN
02/01/2025;CORRIENTES;FRUTAS;PALTA;PALTA;MENDOZA;;0,200;TN
02/01/2025;CORRIENTES;HORTALIZAS;PAPA BLANCA;PAPA BLANCA;MENDOZA;;3,000;TN
02/01/2025;CORRIENTES;HORTALIZAS;PAPA BLANCA;PAPA BLANCA;MENDOZA;;3,600;TN
02/01/2025;CORRIENTES;FRUTAS;PELON;PELON;MENDOZA;;0,480;TN
02/01/2025;CORRIENTES;HORTALIZAS;ZAPALLO TETSUKABUTO;ZAPALLO TETSUKABUTO;MENDOZA;;3,000;TN
02/01/2025;CORRIENTES;FRUTAS;PELON;PELON;MENDOZA;;1,000;TN
02/01/2025;CORRIENTES;HORTALIZAS;PEPINO;PEPINO;BUENOS AIRES;;0,540;TN
02/01/2025;CORRIENTES;FRUTAS;PERA PACKAMS ELEGIGA;PERA PACKAMS ELEGIGA;MENDOZA;;0,600;TN
02/01/2025;CORRIENTES;HORTALIZAS;PEREJIL;PEREJIL;BUENOS AIRES;;0,500;TN
02/01/2025;CORRIENTES;HORTALIZAS;PIMIENTO MORRON ROJO;PIMIENTO MORRON ROJO;MENDOZA;;0,560;TN
02/01/2025;CORRIENTES;HORTALIZAS;PIMIENTO MORRON VERDE;PIMIENTO MORRON VERDE;MENDOZA;;0,560;TN
02/01/2025;CORRIENTES;HORTALIZAS;REPOLLO BLANCO;REPOLLO BLANCO;BUENOS AIRES;;0,500;TN
02/01/2025;CORRIENTES;HORTALIZAS;REPOLLO COLORADO;REPOLLO COLORADO;BUENOS AIRES;;0,750;TN
02/01/2025;CORRIENTES;FRUTAS;SANDIA REDONDA RAYADA;SANDIA REDONDA RAYADA;CORRIENTES;SALADAS;0,500;TN
02/01/2025;CORRIENTES;HORTALIZAS;TOMATE PERITA;TOMATE PERITA;BUENOS AIRES;;1,800;TN
02/01/2025;CORRIENTES;HORTALIZAS;TOMATE PERITA;TOMATE PERITA;MENDOZA;;1,152;TN
02/01/2025;CORRIENTES;HORTALIZAS;TOMATE REDONDO;TOMATE REDONDO;BUENOS AIRES;;1,800;TN
02/01/2025;CORRIENTES;HORTALIZAS;TOMATE REDONDO;TOMATE REDONDO;MENDOZA;;1,152;TN
02/01/2025;CORRIENTES;FRUTAS;UVA CARDINAL;UVA CARDINAL;MENDOZA;;0,400;TN
02/01/2025;CORRIENTES;HORTALIZAS;ZANAHORIA;ZANAHORIA;MENDOZA;;4,000;TN
02/01/2025;CORRIENTES;HORTALIZAS;ZANAHORIA;ZANAHORIA;MENDOZA;;2,512;TN
02/01/2025;CORRIENTES;HORTALIZAS;ZANAHORIA;ZANAHORIA;MENDOZA;;1,884;TN
02/01/2025;CORRIENTES;HORTALIZAS;ZANAHORIA;ZANAHORIA;MENDOZA;;1,884;TN
02/01/2025;CORRIENTES;HORTALIZAS;ZANAHORIA;ZANAHORIA;MENDOZA;;0,785;TN
03/01/2025;CORRIENTES;HORTALIZAS;PAPA BLANCA;PAPA BLANCA;CATAMARCA;;1,000;TN
06/01/2025;CORRIENTES;HORTALIZAS;ACELGA;ACELGA;BUENOS AIRES;;0,500;TN
06/01/2025;CORRIENTES;HORTALIZAS;ACELGA;ACELGA;CHACO;;0,200;TN
06/01/2025;CORRIENTES;HORTALIZAS;ACELGA;ACELGA;JUJUY;;0,100;TN
06/01/2025;CORRIENTES;HORTALIZAS;AJO MORADO CHINO;AJO MORADO CHINO;MENDOZA;;0,032;TN
06/01/2025;CORRIENTES;HORTALIZAS;AJO MORADO CHINO;AJO MORADO CHINO;MENDOZA;;0,016;TN
06/01/2025;CORRIENTES;HORTALIZAS;AJO MORADO CHINO;AJO MORADO CHINO;MENDOZA;;0,125;TN
06/01/2025;CORRIENTES;HORTALIZAS;AJO MORADO CHINO;AJO MORADO CHINO;MENDOZA;;0,080;TN
06/01/2025;CORRIENTES;FRUTAS;ANANA PIÑA ECUADOR;ANANA PIÑA ECUADOR;MENDOZA;;0,400;TN
06/01/2025;CORRIENTES;HORTALIZAS;APIO DE HOJA;APIO DE HOJA;CHACO;;0,080;TN
