año;mes;rubro;cantidad_registros;especies_unicas;variedades_unicas;mercados_unicos;procedencias_unicas;precio_promedio;precio_min;precio_max;coeficiente_variacion;porcentaje_precios_validos
2024;12;Frutas;68;53;0;1;2;22359.7826;150.0000;50000.0000;0.4708;67.6471
2024;12;Hortalizas;87;56;0;1;2;11998.5507;300.0000;30000.0000;0.7366;79.3103
2024;12;Subproductos;53;51;0;1;1;6532.0513;400.0000;35000.0000;1.1326;73.5849
2025;1;Frutas;290;35;0;1;9;27057.9310;150.0000;68000.0000;0.3897;100.0000
2025;1;Hortalizas;429;44;0;1;13;12968.0653;300.0000;60000.0000;0.5640;100.0000
2025;1;Subproductos;9;5;0;1;3;39533.3333;800.0000;54000.0000;0.5289;100.0000
2025;2;Frutas;372;38;0;1;10;26251.6129;400.0000;52000.0000;0.4153;100.0000
2025;2;Hortalizas;935;53;0;1;9;11795.6150;300.0000;65000.0000;0.6551;100.0000
2025;2;Subproductos;4;3;0;1;1;41500.0000;3000.0000;57000.0000;0.6205;100.0000
2025;3;Frutas;345;38;0;1;9;23147.5362;400.0000;55000.0000;0.4841;100.0000
2025;3;Hortalizas;2148;50;0;1;12;10839.8976;300.0000;50000.0000;0.8050;100.0000
2025;3;Subproductos;17;3;0;1;1;36811.7647;1300.0000;74000.0000;0.9226;100.0000
2025;4;Frutas;384;34;0;1;8;21920.5729;500.0000;80000.0000;0.5020;100.0000
2025;4;Hortalizas;2494;53;0;1;8;10409.3825;300.0000;80000.0000;0.8890;100.0000
2025;4;Subproductos;28;5;0;1;2;43000.0000;1000.0000;78000.0000;0.8420;100.0000
2025;5;Frutas;446;38;0;1;8;20056.9507;400.0000;51000.0000;0.5058;100.0000
2025;5;Hortalizas;3046;54;0;1;14;9487.0650;300.0000;60000.0000;0.8184;100.0000
2025;5;Subproductos;26;3;0;1;2;53726.9231;1400.0000;74000.0000;0.5951;100.0000
2025;6;Frutas;497;40;0;1;7;21543.4608;2500.0000;67000.0000;0.5988;100.0000
2025;6;Hortalizas;3106;54;0;1;12;10787.2022;300.0000;220000.0000;0.8322;100.0000
2025;6;Subproductos;19;5;0;1;2;38568.4211;1400.0000;74000.0000;0.8988;100.0000
2025;7;(sin informar);1;1;0;1;1;10000.0000;10000.0000;10000.0000;;100.0000
2025;7;Frutas;320;33;0;1;9;15268.7500;1000.0000;46000.0000;0.5701;100.0000
2025;7;Hortalizas;2892;51;0;1;12;11391.6321;300.0000;50000.0000;0.6285;100.0000
2025;7;Subproductos;10;5;0;1;2;15700.0000;1500.0000;66000.0000;1.6254;100.0000
2025;8;Frutas;172;27;0;1;8;20704.0698;4000.0000;63000.0000;0.5974;100.0000
2025;8;Hortalizas;2303;52;0;1;10;10539.6439;400.0000;80000.0000;0.7717;100.0000
2025;8;Subproductos;15;3;0;1;2;16366.6667;3000.0000;66000.0000;1.5093;100.0000
2025;9;Frutas;238;26;0;1;9;18182.7731;4000.0000;65000.0000;0.6265;100.0000
2025;9;Hortalizas;2185;48;0;1;13;9960.1373;300.0000;48000.0000;0.7940;100.0000
2025;9;Subproductos;9;3;0;1;1;11444.4444;3000.0000;70000.0000;1.9198;100.0000
2025;10;Frutas;223;30;0;1;10;21272.6457;600.0000;75000.0000;0.6020;100.0000
2025;10;Hortalizas;2314;49;0;1;13;10671.1755;600.0000;45000.0000;0.6612;100.0000
2025;10;Subproductos;9;4;0;1;2;18055.5556;4000.0000;66000.0000;1.4761;100.0000
2025;11;Frutas;307;35;0;1;11;28393.6482;250.0000;89000.0000;0.6803;100.0000
2025;11;Hortalizas;1879;51;0;1;13;10903.7547;500.0000;69000.0000;0.6101;100.0000
2025;11;Subproductos;7;3;0;1;2;18357.1429;3000.0000;56000.0000;1.3287;100.0000
2025;12;Frutas;242;32;0;1;9;26963.4298;200.0000;90000.0000;0.7829;100.0000
2025;12;Hortalizas;1883;47;0;1;10;9627.0844;600.0000;48000.0000;0.6347;100.0000
2025;12;Subproductos;4;2;0;1;1;4500.0000;4000.0000;5000.0000;0.0907;100.0000
2026;1;Frutas;3768;53;82;2;28;6073.4241;300.0000;77000.0000;1.6447;100.0000
2026;1;Hortalizas;5620;82;48;2;22;5862.7085;260.0000;40000.0000;1.2870;100.0000
2026;2;Frutas;3148;53;79;2;30;5063.5704;300.0000;77000.0000;1.6414;100.0000
2026;2;Hortalizas;4911;84;49;2;21;6157.9556;200.0000;60000.0000;1.3179;100.0000
2026;2;Subproductos;3;2;0;1;1;3333.3333;2000.0000;4000.0000;0.3464;100.0000
2026;3;Frutas;3754;72;77;2;29;6309.8385;300.0000;76000.0000;1.7723;100.0000
2026;3;Hortalizas;6038;88;50;2;21;4951.9644;3.0000;85000.0000;1.3147;100.0000
2026;3;Subproductos;11;5;0;1;2;32018.1818;1200.0000;60000.0000;0.8994;100.0000
2026;4;Frutas;3175;64;52;2;24;6039.7832;300.0000;400000.0000;2.1077;100.0000
2026;4;Hortalizas;5659;88;52;2;20;4462.1653;166.6700;70000.0000;1.3199;100.0000
2026;4;Subproductos;10;4;0;1;2;13312.0000;120.0000;56000.0000;1.6933;100.0000
2026;5;Frutas;3029;61;44;2;22;7227.6274;333.3300;119167.0000;1.8552;100.0000
2026;5;Hortalizas;5992;93;56;2;23;5313.3432;144.4400;45000.0000;1.3054;99.9833
2026;5;Subproductos;10;3;0;1;2;14000.0000;2000.0000;60000.0000;1.7340;100.0000
2026;6;Frutas;3434;62;47;2;21;7610.4839;392.8600;110000.0000;1.8580;100.0000
2026;6;Hortalizas;8035;94;56;2;27;5151.9635;300.0000;100000.0000;1.3129;99.9876
