especie;rubro;cantidad_registros;mercados_disponibles;procedencias_disponibles;cantidad_fechas_disponibles;fecha_minima;fecha_maxima;cantidad_meses_disponibles;precio_promedio;precio_min;precio_max;coeficiente_variacion;porcentaje_precios_validos
TOMATE;Hortalizas;3978;1;10;155;2026-01-02;2026-08-24;8;1265.1738;144.4400;5800.0000;0.6495;100.0000
MANZANA;Frutas;3926;1;2;155;2026-01-02;2026-08-24;8;2430.8974;1050.0000;6400.0000;0.3003;100.0000
ACELGA;Hortalizas;2508;1;4;164;2026-01-02;2026-12-25;9;8439.3495;330.0000;100000.0000;0.7378;100.0000
PIMIENTO;Hortalizas;2271;1;6;155;2026-01-02;2026-08-24;8;1757.7348;437.5000;5600.0000;0.5107;100.0000
LECHUGA;Hortalizas;1765;1;5;155;2026-01-02;2026-08-24;8;1429.5595;437.5000;4400.0000;0.3689;100.0000
PALTA;Frutas;1693;1;8;158;2026-01-02;2026-08-24;8;5781.4373;1050.0000;72000.0000;0.9397;100.0000
UVA;Frutas;1618;1;5;155;2026-01-02;2026-08-24;8;4669.5226;950.0000;9500.0000;0.4981;100.0000
LECHUGA CRESPA;Hortalizas;1548;0;4;151;2026-01-02;2026-12-25;9;11525.7752;1200.0000;71000.0000;0.4470;100.0000
AJO;Hortalizas;1492;1;3;155;2026-01-02;2026-08-24;8;3181.4845;493.3300;7600.0000;0.5044;100.0000
BANANA;Frutas;1447;1;7;155;2026-01-02;2026-08-24;8;1379.5881;636.3600;2700.0000;0.3017;100.0000
PERA;Frutas;1377;1;5;155;2026-01-02;2026-08-24;8;1835.5308;944.4400;7600.0000;0.4554;100.0000
LIMON;Frutas;1354;1;8;156;2026-01-02;2026-08-24;8;1174.6861;392.8600;30000.0000;1.6487;100.0000
CEBOLLITA DE VERDEO;Hortalizas;1306;0;3;149;2026-01-02;2026-12-25;9;2599.9257;3.0000;30000.0000;0.9292;100.0000
PEREJIL;Hortalizas;1273;1;6;164;2026-01-02;2026-12-25;9;12499.4488;800.0000;60000.0000;0.9902;100.0000
DURAZNO;Frutas;1252;1;5;91;2026-01-02;2026-08-10;6;4079.5705;1375.0000;49000.0000;1.6495;100.0000
MANDARINA;Frutas;1239;1;4;131;2026-02-02;2026-08-24;7;798.0321;333.3300;3000.0000;0.5673;100.0000
ZAPALLO;Hortalizas;1219;1;10;155;2026-01-02;2026-08-24;8;646.2707;220.0000;1705.8800;0.4784;100.0000
NARANJA;Frutas;1214;1;7;155;2026-01-02;2026-08-24;8;1011.0074;500.0000;3400.0000;0.5987;100.0000
KIWI;Frutas;1205;1;10;160;2026-01-02;2026-08-24;8;11050.0032;1600.0000;77000.0000;1.6884;100.0000
PAPA;Hortalizas;1194;1;11;155;2026-01-02;2026-08-24;8;883.5024;283.3300;1720.0000;0.3613;100.0000
CIRUELA;Frutas;1166;1;5;141;2026-01-02;2026-08-25;8;6536.3580;888.8900;78000.0000;1.8921;100.0000
CEBOLLA;Hortalizas;1151;1;6;155;2026-01-02;2026-08-24;8;671.5292;300.0000;1450.0000;0.3443;100.0000
RUCULA;Hortalizas;1149;1;2;163;2026-01-02;2026-12-25;9;3027.2700;900.0000;30000.0000;1.0049;100.0000
BERENJENA;Hortalizas;1133;1;8;162;2026-01-02;2026-08-25;8;3643.1378;250.0000;25000.0000;1.3880;100.0000
ZANAHORIA;Hortalizas;1051;1;9;161;2026-01-02;2026-08-24;8;2884.1203;530.0000;23000.0000;1.6967;100.0000
ZAPALLITO;Hortalizas;1042;1;8;155;2026-01-02;2026-08-24;8;1018.6449;200.0000;2333.3300;0.5445;100.0000
REPOLLO;Hortalizas;1006;1;3;153;2026-01-02;2026-08-24;8;621.1940;360.0000;1200.0000;0.1839;100.0000
FRUTILLA;Frutas;843;1;8;158;2026-01-02;2026-12-25;9;11250.7770;2400.0000;60000.0000;0.7039;100.0000
POMELO;Frutas;832;1;8;155;2026-01-02;2026-08-24;8;1433.1873;500.0000;3333.3300;0.4786;100.0000
HONGOS;Hortalizas;812;1;1;155;2026-01-02;2026-08-24;8;18543.8219;15000.0000;23000.0000;0.0980;100.0000
BATATA;Hortalizas;800;1;5;155;2026-01-02;2026-08-24;8;1236.1458;500.0000;2615.3800;0.4038;100.0000
BROCOLI;Hortalizas;791;1;6;162;2026-01-02;2026-12-25;9;6138.9868;750.0000;38000.0000;1.4662;100.0000
PEPINO;Hortalizas;787;1;5;162;2026-01-02;2026-12-25;9;5035.5348;166.6700;300000.0000;2.4904;100.0000
CHAUCHA;Hortalizas;758;1;5;154;2026-01-02;2026-08-24;8;1940.8410;800.0000;4200.0000;0.3330;100.0000
MELON;Frutas;749;1;6;155;2026-01-02;2026-08-24;8;2213.1602;1100.0000;3800.0000;0.2485;100.0000
ESPINACA;Hortalizas;736;1;5;161;2026-01-02;2026-12-25;9;5626.5489;740.0000;37500.0000;1.1496;100.0000
ZAPALLITO TRONCO;Hortalizas;710;0;4;130;2026-01-02;2026-12-25;9;13897.1831;2000.0000;40000.0000;0.6099;100.0000
TOMATE PERITA;Hortalizas;689;0;6;111;2026-01-02;2026-12-25;9;21076.1974;10000.0000;40000.0000;0.2665;100.0000
REMOLACHA;Hortalizas;670;1;7;159;2026-01-02;2026-08-24;8;3524.9711;200.0000;27000.0000;1.9570;100.0000
MANDIOCA;Hortalizas;665;1;4;161;2026-01-02;2026-12-25;9;8037.8571;325.0000;30000.0000;0.9393;100.0000
PIMIENTO MORRON VERDE;Hortalizas;659;0;2;127;2026-01-02;2026-12-25;9;12191.1988;1000.0000;32000.0000;0.2574;100.0000
PIMIENTO MORRON ROJO;Hortalizas;623;0;6;114;2026-01-02;2026-12-25;9;18255.2167;2000.0000;48000.0000;0.4015;100.0000
CEB VERDEO;Hortalizas;623;1;3;155;2026-01-02;2026-08-24;8;2792.0934;260.0000;26000.0000;0.6035;100.0000
ALBAHACA;Hortalizas;606;1;2;162;2026-01-02;2026-12-25;9;1939.0677;200.0000;70000.0000;1.8061;100.0000
BATATA BLANCA;Hortalizas;566;0;4;103;2026-01-05;2026-12-25;9;6662.5442;4000.0000;26000.0000;0.3324;100.0000
PELON;Frutas;528;1;5;108;2026-01-02;2026-08-14;7;5918.0932;1583.3300;57000.0000;1.3285;100.0000
PUERRO;Hortalizas;514;1;2;157;2026-01-02;2026-12-25;9;3153.7938;350.0000;60000.0000;1.2234;100.0000
CHOCLO;Hortalizas;505;1;8;154;2026-01-02;2026-08-24;8;1378.7474;433.3300;3866.6700;0.6074;100.0000
MANGO;Frutas;500;1;4;154;2026-01-02;2026-08-24;8;3137.3213;722.2200;47000.0000;1.3518;100.0000
ANANA;Frutas;497;1;3;154;2026-01-02;2026-08-24;8;2608.7279;1888.8900;4666.6700;0.2563;100.0000
APIO;Hortalizas;492;1;3;155;2026-01-02;2026-08-24;8;1338.3310;1000.0000;2500.0000;0.2657;100.0000
ESCAROLA;Hortalizas;486;1;1;154;2026-01-02;2026-08-24;8;1241.9136;700.0000;2000.0000;0.2534;100.0000
RADICHETA;Hortalizas;486;1;1;154;2026-01-02;2026-08-24;8;1564.6100;566.6700;3666.6700;0.3366;100.0000
TOMATE REDONDO;Hortalizas;480;0;6;111;2026-01-02;2026-12-25;9;21718.7500;8000.0000;38000.0000;0.3182;100.0000
ARANDANO;Frutas;480;1;8;150;2026-01-02;2026-08-24;8;34496.7584;7000.0000;119167.0000;0.7574;100.0000
SANDIA;Frutas;471;1;7;150;2026-01-02;2026-08-24;8;1275.1891;500.0000;15000.0000;1.1540;100.0000
LIMA;Frutas;443;1;3;154;2026-01-02;2026-08-24;8;2276.8279;1166.6700;72000.0000;1.7879;100.0000
COLIFLOR;Hortalizas;435;1;4;143;2026-01-02;2026-12-25;9;3257.8015;526.6700;30000.0000;2.1001;100.0000
OREGANO;Hortalizas;427;1;2;155;2026-01-02;2026-12-25;9;8346.6042;1000.0000;12000.0000;0.2527;100.0000
ACUSAY;Hortalizas;422;1;2;154;2026-01-02;2026-08-24;8;827.8357;720.0000;1100.0000;0.0747;100.0000
