origen_normalizado;registros;peso_tn;valores_originales
Corrientes;24131;129336.549;CORRIENTES (24131)
Mendoza;5483;252604.451;MENDOZA (5483)
Buenos Aires;4636;518784.709;BUENOS AIRES (4636)
Río Negro;2047;241926.316;RÍO NEGRO (1030), R. NEGRO (1017)
Jujuy;1987;57339.074;JUJUY (1987)
Entre Ríos;1310;329242.548;E. RIOS (709), ENTRE RÍOS (601)
Salta;1301;146702.866;SALTA (1301)
Santa Fe;1206;53384.094;SANTA FE (839), SANTA FÉ (367)
Mar del Plata;1126;25199.683;M.D.PLAT (693), MAR DEL PLATA (433)
Brasil;1082;70392.19;BRASIL (1082)
San Juan;776;40335.036;SAN JUAN (776)
Tucumán;664;103696.059;TUCUMAN (358), TUCUMÁN (306)
Chile;512;25266.459;CHILE (512)
Misiones;467;26644.866;MISIONES (467)
Santiago del Estero;403;37126.614;SGO.EST. (213), SGO DEL ESTERO (131), SANTIAGO DEL ESTERO (59)
Neuquén;394;12659.824;NEUQUEN (253), NEUQUÉN (141)
Formosa;294;9568.827;FORMOSA (294)
Córdoba;287;76325.868;CORDOBA (179), CÓRDOBA (108)
Chaco;266;1901.423;CHACO (266)
Ecuador;212;90325.457;ECUADOR (212)
San Pedro;126;2191.012;S. PEDRO (116), SAN PEDRO (10)
Bolivia;98;36055.349;BOLIVIA (98)
Paraguay;97;21290.47;PARAGUAY (97)
España;92;732.609;ESPAÑA (92)
San Luis;76;25513.634;SAN LUIS (76)
Se Bs.As;73;222497.6;SE BS.AS (73)
Sud. Bs As;62;172024.636;SUD. BS AS (62)
Perú;59;926.594;PERU (37), PERÚ (22)
Chubut;54;1453.636;CHUBUT (54)
La Rioja;40;1117.69;LA RIOJA (40)
Catamarca;39;3730.16;CATAMARC (21), CATAMARCA (18)
Egipto;39;600.633;EGIPTO (39)
Colombia;38;2930.463;COLOMBIA (38)
Ciudad Autónoma de Buenos Aires;28;139.85;CIUDAD AUTÓNOMA DE BUENOS AIRES (28)
La Pampa;22;84.7;LA PAMPA (22)
Santa Cruz;21;288.49;STA.CRUZ (15), SANTA CRUZ (6)
Italia;17;199.775;ITALIA (17)
Puerto Rico;13;3.9;PTO.RICO (13)
Grecia;12;163.491;GRECIA (12)
Grl.Belg;12;9419.8;GRL.BELG (12)
(vacío / inválido);11;29.039;(vacío / inválido) (10), #N/A (1)
Sur. Bs As;11;269.764;SUR. BS AS (11)
México;10;350.066;MÉXICO (5), MEXICO (5)
Gral Belgrano;5;3158.948;GRAL BELGRANO (5)
V.Dolor.;3;107.6;V.DOLOR. (3)
S.Bs.As.;2;30.8;S.BS.AS. (2)
China;1;21.0;CHINA (1)
Portugal;1;20.2;PORTUGAL (1)
Rosario;1;48.0;ROSARIO (1)
