procedencia;cantidad_registros;cantidad_fechas_disponibles;fecha_minima;fecha_maxima;cantidad_meses_disponibles;especies_unicas;precio_promedio;precio_min;precio_max;coeficiente_variacion;porcentaje_precios_validos
Corrientes;38472;402;2024-12-29;2026-12-25;22;179;9824.2537;3.0000;300000.0000;0.7875;99.8544
(sin informar);13957;155;2026-01-02;2026-08-24;8;102;4232.4810;200.0000;107917.0000;1.5419;100.0000
Buenos Aires;13953;285;2025-01-02;2026-08-24;20;100;4573.5107;166.6700;60000.0000;1.4392;100.0000
Mendoza;11630;287;2024-12-29;2026-08-25;21;119;12941.7448;194.4400;400000.0000;1.2538;100.0000
Río Negro;6687;223;2025-01-06;2026-12-25;21;43;5543.7141;365.0000;70000.0000;1.7733;100.0000
Jujuy;3125;250;2025-01-06;2026-12-25;21;61;13791.3074;405.5600;220000.0000;0.9072;100.0000
Salta;3028;186;2025-02-27;2026-08-24;18;35;2483.7493;144.4400;40000.0000;1.5263;100.0000
Brasil;2988;155;2026-01-02;2026-08-24;8;21;3379.7624;550.0000;27000.0000;0.6323;100.0000
Entre Ríos;2487;206;2025-02-24;2026-08-24;18;26;4998.4179;333.3300;96666.7000;2.7907;100.0000
Chile;1520;155;2026-01-02;2026-08-24;8;14;6414.6471;800.0000;96666.7000;1.1093;100.0000
Mar del Plata;1284;150;2026-01-02;2026-08-24;8;14;3639.8991;166.6700;119167.0000;2.7247;100.0000
Tucumán;1029;192;2025-01-16;2026-08-25;16;15;5151.5259;392.8600;86666.7000;2.2284;100.0000
Ecuador;823;155;2026-01-02;2026-08-24;8;4;3622.7028;454.5500;20000.0000;1.1244;100.0000
San Juan;817;122;2025-01-06;2026-08-24;10;14;2462.2644;320.0000;29000.0000;0.9719;100.0000
S.Bs.As.;774;152;2026-01-07;2026-08-24;8;3;680.8485;300.0000;2300.0000;0.3956;100.0000
Santa Fe;698;143;2025-01-13;2026-08-24;17;35;5073.4921;353.3300;40000.0000;1.2450;100.0000
Misiones;477;247;2025-01-06;2026-08-24;19;15;5899.0071;325.0000;30000.0000;0.9564;100.0000
Formosa;435;198;2025-01-06;2026-12-25;20;20;7607.0158;472.2200;47000.0000;1.0484;100.0000
Se Bs.As;435;155;2026-01-02;2026-08-24;8;1;803.8365;388.8900;1611.1100;0.3564;100.0000
Sgo.Est.;424;115;2026-01-02;2026-08-24;8;10;1369.2953;200.0000;26000.0000;1.4482;100.0000
Perú;417;126;2026-01-02;2026-08-24;7;2;6454.1229;1700.0000;20000.0000;0.7330;100.0000
Chaco;409;152;2025-01-06;2026-08-24;20;54;25275.4931;150.0000;88000.0000;0.5792;100.0000
Córdoba;393;174;2025-01-06;2026-08-24;18;22;4025.4211;283.3300;35000.0000;1.2025;100.0000
San Pedro;283;152;2026-01-07;2026-08-24;8;2;1311.5430;493.3300;2363.6400;0.4151;100.0000
España;224;101;2026-01-02;2026-08-24;6;6;6118.1550;1400.0000;16750.0000;0.5772;100.0000
Bolivia;204;144;2026-01-02;2026-08-24;8;2;1530.7735;900.0000;2277.7800;0.2654;100.0000
Paraguay;177;150;2026-01-02;2026-08-24;8;2;1122.4963;636.3600;2000.0000;0.2444;100.0000
Egipto;170;79;2026-01-02;2026-04-30;4;3;2432.5491;1533.3300;3200.0000;0.1801;100.0000
Grecia;133;79;2026-01-02;2026-05-12;5;1;5709.1897;3777.7800;7800.0000;0.1762;100.0000
Colombia;123;122;2026-01-02;2026-07-24;7;1;1382.1138;1150.0000;1700.0000;0.1082;100.0000
San Luis;92;61;2025-01-06;2026-08-10;7;2;1490.8152;600.0000;17000.0000;1.2268;100.0000
Italia;92;57;2026-01-02;2026-03-27;3;1;6469.3237;5200.0000;8777.7800;0.1671;100.0000
Chubut;85;53;2025-03-06;2026-03-27;4;3;7307.8824;670.0000;11600.0000;0.3887;100.0000
Catamarc;83;66;2026-02-20;2026-08-24;6;5;1890.4952;820.0000;3600.0000;0.5688;100.0000
V.Dolor.;79;76;2026-01-02;2026-08-24;6;1;917.6504;444.4400;1500.0000;0.3659;100.0000
Sta.Cruz;70;37;2026-01-09;2026-03-10;3;1;8282.8571;7200.0000;11600.0000;0.1740;100.0000
Israel;65;65;2026-01-09;2026-04-17;4;1;2528.2051;1733.3300;3000.0000;0.1597;100.0000
Santiago Del Estero;63;32;2025-02-06;2026-08-24;10;10;7000.0000;600.0000;26000.0000;0.6235;100.0000
Ciudad Autónoma De Buenos Aires;38;10;2025-02-24;2026-03-18;7;22;14539.4737;5500.0000;30000.0000;0.4640;100.0000
Grl.Belg;26;26;2026-01-02;2026-02-06;2;1;506.6242;472.2200;555.5600;0.0469;100.0000
Catamarca;16;14;2025-01-03;2026-06-15;9;3;4178.1250;300.0000;12000.0000;0.8161;100.0000
Rosario;13;13;2026-01-09;2026-01-27;1;1;467.9477;444.4400;477.7800;0.0291;100.0000
China;12;6;2026-08-13;2026-08-24;1;1;7600.0000;7600.0000;7600.0000;0.0000;100.0000
Mexico;11;11;2026-01-30;2026-02-13;2;1;3745.4545;3700.0000;3800.0000;0.0139;100.0000
Nva.Zela;9;9;2026-07-06;2026-07-30;1;1;9666.6667;9400.0000;9800.0000;0.0179;100.0000
La Plata;1;1;2026-06-08;2026-06-08;1;1;476.1900;476.1900;476.1900;;100.0000
