rubro;mercado;procedencia;especie;variedad;unidad;cantidad_observaciones;cantidad_fechas_distintas;cantidad_meses_distintos;cantidad_fechas_disponibles;fecha_minima;fecha_maxima;cantidad_meses_disponibles;precio_promedio;precio_min;precio_max;coeficiente_variacion;porcentaje_precios_validos;indicador_serie_utilizable
Hortalizas;(sin informar);Corrientes;ACELGA;(sin informar);$/Kg;1770;151;9;151;2026-01-02;2026-12-25;9;11123.5593;1000.0000;100000.0000;0.4293;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Río Negro;MANZANA;Red Delici;$/Kg;1760;155;8;155;2026-01-02;2026-08-24;8;2380.7261;1277.7800;6400.0000;0.3026;100.0000;Alta
Hortalizas;(sin informar);Corrientes;LECHUGA CRESPA;(sin informar);$/Kg;1510;151;9;151;2026-01-02;2026-12-25;9;11390.6623;1200.0000;71000.0000;0.4495;100.0000;Alta
Hortalizas;(sin informar);Corrientes;CEBOLLITA DE VERDEO;(sin informar);$/Kg;1298;149;9;149;2026-01-02;2026-12-25;9;2577.0439;3.0000;30000.0000;0.8927;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Río Negro;MANZANA;Granny Smi;$/Kg;1008;155;8;155;2026-01-02;2026-08-24;8;2400.9102;1050.0000;4100.0000;0.2905;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mendoza;AJO;Mdo. Chino;$/Kg;935;155;8;155;2026-01-02;2026-08-24;8;2900.0380;733.3300;7600.0000;0.5008;100.0000;Alta
Hortalizas;(sin informar);Corrientes;RUCULA;(sin informar);$/Kg;820;146;9;146;2026-01-02;2026-12-25;9;3318.1707;1000.0000;30000.0000;0.8896;100.0000;Alta
Hortalizas;(sin informar);Corrientes;PEREJIL;(sin informar);$/Kg;694;139;9;139;2026-01-02;2026-12-25;9;20138.3285;1000.0000;60000.0000;0.5380;100.0000;Alta
Hortalizas;(sin informar);Corrientes;ZAPALLITO TRONCO;(sin informar);$/Kg;655;129;9;129;2026-01-02;2026-12-25;9;13436.6412;2000.0000;40000.0000;0.6299;100.0000;Alta
Hortalizas;(sin informar);Corrientes;PIMIENTO MORRON VERDE;(sin informar);$/Kg;652;127;9;127;2026-01-02;2026-12-25;9;12179.4479;1000.0000;32000.0000;0.2584;100.0000;Alta
Hortalizas;(sin informar);Corrientes;PIMIENTO MORRON ROJO;(sin informar);$/Kg;596;114;9;114;2026-01-02;2026-12-25;9;17911.0738;2000.0000;45000.0000;0.3881;100.0000;Alta
Hortalizas;(sin informar);Corrientes;BATATA BLANCA;(sin informar);$/Kg;543;102;9;102;2026-01-05;2026-12-25;9;6594.8435;4000.0000;26000.0000;0.3371;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Tucumán;LIMON;Eureka;$/Kg;536;155;8;155;2026-01-02;2026-08-24;8;907.2204;392.8600;3071.4300;0.5631;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Río Negro;PERA;Packham'S;$/Kg;520;109;6;109;2026-01-02;2026-08-24;6;1886.0476;1277.7800;3000.0000;0.2841;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;ACELGA;(sin informar);$/Kg;489;155;8;155;2026-01-02;2026-08-24;8;759.0798;330.0000;1400.0000;0.2811;100.0000;Alta
Hortalizas;(sin informar);Corrientes;TOMATE PERITA;(sin informar);$/Kg;474;100;8;100;2026-01-02;2026-08-25;8;19930.3797;10000.0000;32000.0000;0.2641;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;LECHUGA;Mantecosa;$/Kg;448;155;8;155;2026-01-02;2026-08-24;8;1809.8214;750.0000;4400.0000;0.3295;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;TOMATE;Redondo;$/Kg;431;103;6;103;2026-01-02;2026-06-05;6;705.5168;166.6700;2222.2200;0.5925;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;PIMIENTO;Morron;$/Kg;430;103;6;103;2026-01-02;2026-06-05;6;1107.8372;600.0000;2800.0000;0.4262;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mendoza;ZANAHORIA;Chantenay;$/Kg;429;155;8;155;2026-01-02;2026-08-24;8;853.1347;650.0000;1200.0000;0.1630;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;CEB VERDEO;Colorada;$/Kg;407;155;8;155;2026-01-02;2026-08-24;8;2672.3342;260.0000;5000.0000;0.3135;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Corrientes;PIMIENTO;Morron;$/Kg;394;100;6;100;2026-01-20;2026-08-24;6;1692.5761;437.5000;4875.0000;0.4603;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Río Negro;PERA;Williams;$/Kg;392;119;7;119;2026-01-23;2026-07-24;7;1459.5246;944.4400;4200.0000;0.3748;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;LECHUGA;Criolla;$/Kg;392;155;8;155;2026-01-02;2026-08-24;8;1217.7615;437.5000;2750.0000;0.3331;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mendoza;AJO;Colorado;$/Kg;391;61;6;61;2026-02-27;2026-08-24;6;3907.1350;1000.0000;7444.4400;0.5001;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Salta;PIMIENTO;Morron;$/Kg;379;85;5;85;2026-04-20;2026-08-24;5;2391.2753;1100.0000;5600.0000;0.3868;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mendoza;TOMATE;Perita;$/Kg;370;93;5;93;2026-01-02;2026-05-21;5;703.8142;222.2200;1833.3300;0.4245;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Ecuador;BANANA;Cavendish;$/Kg;362;155;8;155;2026-01-02;2026-08-24;8;1753.1768;1050.0000;2700.0000;0.2462;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;TOMATE;Perita;$/Kg;358;98;6;98;2026-01-02;2026-06-02;6;695.9107;277.7800;2222.2200;0.4820;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Buenos Aires;KIWI;(sin informar);$/Kg;341;95;6;95;2026-01-02;2026-08-24;6;3424.6986;1600.0000;7500.0000;0.3950;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Chile;PALTA;Hass;$/Kg;341;148;8;148;2026-01-02;2026-08-24;8;8423.3009;1050.0000;11500.0000;0.2010;100.0000;Alta
Hortalizas;(sin informar);Corrientes;TOMATE REDONDO;(sin informar);$/Kg;338;101;9;101;2026-01-02;2026-12-25;9;20112.4260;8000.0000;38000.0000;0.3300;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Perú;PALTA;Hass;$/Kg;330;119;7;119;2026-01-13;2026-08-24;7;4264.2705;2100.0000;6800.0000;0.2400;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;BROCOLI;(sin informar);$/Kg;326;155;8;155;2026-01-02;2026-08-24;8;1677.0322;750.0000;2875.0000;0.3427;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;PEREJIL;(sin informar);$/Kg;325;155;8;155;2026-01-02;2026-08-24;8;1383.7538;800.0000;3700.0000;0.4031;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;ESPINACA;(sin informar);$/Kg;324;154;8;154;2026-01-02;2026-08-24;8;1758.5185;740.0000;3200.0000;0.2714;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;PUERRO;(sin informar);$/Kg;323;154;8;154;2026-01-02;2026-08-24;8;2722.2910;350.0000;4500.0000;0.2203;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Brasil;PALTA;Hass;$/Kg;322;115;7;115;2026-01-02;2026-08-24;7;3985.2911;2000.0000;6200.0000;0.2355;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;REPOLLO;Blanco;$/Kg;322;153;8;153;2026-01-02;2026-08-24;8;532.9188;360.0000;666.6700;0.1498;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;REPOLLO;Colorado;$/Kg;322;153;8;153;2026-01-02;2026-08-24;8;651.9244;466.6700;866.6700;0.1431;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;APIO;(sin informar);$/Kg;315;155;8;155;2026-01-02;2026-08-24;8;1309.5636;1000.0000;2500.0000;0.2536;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Se Bs.As;PAPA;Spunta;$/Kg;307;155;8;155;2026-01-02;2026-08-24;8;730.2206;388.8900;1611.1100;0.3961;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;S.Bs.As.;CEBOLLA;Valenciana;$/Kg;287;151;8;151;2026-01-07;2026-08-24;8;553.6411;300.0000;1250.0000;0.4207;100.0000;Alta
Hortalizas;(sin informar);Corrientes;MANDIOCA;(sin informar);$/Kg;286;78;8;78;2026-02-26;2026-12-25;8;15290.2098;2000.0000;20000.0000;0.2021;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mendoza;TOMATE;Redondo;$/Kg;278;86;5;86;2026-01-09;2026-05-28;5;828.2776;194.4400;2000.0000;0.5025;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mar del Plata;PIMIENTO;Morron;$/Kg;271;74;4;74;2026-02-02;2026-05-26;4;1247.5646;600.0000;2850.0000;0.4265;100.0000;Alta
Frutas;Mercado Central de Buenos Aires;Entre Ríos;NARANJA;Valen.Late;$/Kg;266;104;6;104;2026-01-02;2026-06-08;6;893.9013;555.5600;1333.3300;0.2179;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Salta;TOMATE;Perita;$/Kg;265;67;5;67;2026-04-20;2026-08-24;5;1626.7503;144.4400;2555.5600;0.3129;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Buenos Aires;REMOLACHA;(sin informar);$/Kg;257;153;8;153;2026-01-02;2026-08-24;8;845.3572;500.0000;1133.3300;0.1458;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Jujuy;TOMATE;Perita;$/Kg;253;80;5;80;2026-04-22;2026-08-24;5;1099.8029;405.5600;1833.3300;0.3162;100.0000;Alta
Frutas;(sin informar);Corrientes;LIMON COMERCIAL;(sin informar);$/Kg;251;85;9;85;2026-01-05;2026-12-25;9;8619.5219;4000.0000;30000.0000;0.6940;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Corrientes;TOMATE;Cherry;$/Kg;247;111;6;111;2026-03-04;2026-08-24;6;2538.0567;960.0000;5600.0000;0.4243;100.0000;Alta
Hortalizas;Mercado Central de Buenos Aires;Mar del Plata;TOMATE;Redondo;$/Kg;247;94;5;94;2026-01-02;2026-05-22;5;777.1933;166.6700;2166.6700;0.5074;100.0000;Alta
