año;mes;periodo_ym;commodity;fuente;mercado;tipo_precio;moneda;unidad;frecuencia;operaciones;precio_promedio;precio_mediana;precio_min;precio_max;variacion_mensual_pct;variacion_interanual_pct
2020;01;2020-01;Cebada forrajera;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;9159.16;9159.16;9159.16;9159.16;;
2020;01;2020-01;Girasol;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;13875.26;13875.26;13875.26;13875.26;;
2020;01;2020-01;Girasol;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — ROSARIO;Precio interno mensual;ARS;TN;mensual;1;14317.17;14317.17;14317.17;14317.17;;
2020;01;2020-01;Maíz;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;9474.89;9474.89;9474.89;9474.89;;
2020;01;2020-01;Maíz;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — ROSARIO;Precio interno mensual;ARS;TN;mensual;1;9080.41;9080.41;9080.41;9080.41;;
2020;01;2020-01;Soja;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — ROSARIO;Precio interno mensual;ARS;TN;mensual;1;15344.55;15344.55;15344.55;15344.55;;
2020;01;2020-01;Trigo;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;11467.5;11467.5;11467.5;11467.5;;
2020;01;2020-01;Trigo;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — CORDOBA;Precio interno mensual;ARS;TN;mensual;1;11231.11;11231.11;11231.11;11231.11;;
2020;01;2020-01;Trigo;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — ROSARIO;Precio interno mensual;ARS;TN;mensual;1;11455.23;11455.23;11455.23;11455.23;;
2020;02;2020-02;Cebada forrajera;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;9085.4;9085.4;9085.4;9085.4;-0.805314;
2020;02;2020-02;Girasol;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;14288.76;14288.76;14288.76;14288.76;2.980124;
2020;02;2020-02;Girasol;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — ROSARIO;Precio interno mensual;ARS;TN;mensual;1;14836.67;14836.67;14836.67;14836.67;3.62851;
2020;02;2020-02;Maíz;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;9464.2;9464.2;9464.2;9464.2;-0.112825;
