fuente;commodity;periodo_ym;mercado;tipo_precio;moneda;unidad;frecuencia;registros;precio_min;precio_max
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2020-01;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;9159.16;9159.16
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2020-02;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;9085.4;9085.4
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2020-03;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;8596.94;8596.94
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2020-04;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;9161.69;9161.69
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2020-05;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;8950.79;8950.79
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2020-06;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;9893.9;9893.9
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2020-07;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;9929.33;9929.33
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-04;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;57000;57000
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-04;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;52388;52388
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-05;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;56166.67;56166.67
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-05;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;56372.81;56372.81
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-06;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;50000;50000
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-07;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;68000;68000
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-07;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;69381;69381
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-08;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;67556.25;67556.25
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-08;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;69000;69000
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-09;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;66500;66500
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-09;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;65000;65000
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-10;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;69500;69500
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-11;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;93666.67;93666.67
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-12;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;143750;143750
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2023-12;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;148830.77;148830.77
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-01;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;160805;160805
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-01;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;160302.27;160302.27
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-02;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;163428.57;163428.57
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-02;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;153157.89;153157.89
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-03;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;140636.36;140636.36
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-03;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;140472.22;140472.22
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-04;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;145450;145450
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-04;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;149297.22;149297.22
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-05;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;164705.88;164705.88
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-05;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;164569.23;164569.23
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-06;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;174538.46;174538.46
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-06;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;168411.11;168411.11
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-07;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;170294.12;170294.12
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-07;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;168333.33;168333.33
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-08;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;160312.5;160312.5
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-08;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;163860;163860
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-09;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;159500;159500
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-09;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;156600;156600
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-10;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;169153.85;169153.85
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-10;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;167721.43;167721.43
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-11;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;173500;173500
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-11;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;167320;167320
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-12;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;172055.56;172055.56
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2024-12;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;167337.5;167337.5
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2025-01;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;187885.76;187885.76
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2025-01;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;187652.38;187652.38
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2025-02;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;206079;206079
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2025-02;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;204900;204900
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2025-03;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;212208.33;212208.33
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2025-03;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;209121.43;209121.43
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2025-04;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;1;220714.29;220714.29
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2025-04;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;220635.71;220635.71
Secretaría de Agricultura - Precios Internos de los Principales Granos;Cebada forrajera;2026-02;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;280000;280000
Secretaría de Agricultura - Precios Internos de los Principales Granos;Girasol;2020-01;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;13875.26;13875.26
Secretaría de Agricultura - Precios Internos de los Principales Granos;Girasol;2020-01;Argentina / mercado interno — ROSARIO;Precio interno mensual;ARS;TN;mensual;1;14317.17;14317.17
Secretaría de Agricultura - Precios Internos de los Principales Granos;Girasol;2020-02;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;1;14288.76;14288.76
Secretaría de Agricultura - Precios Internos de los Principales Granos;Girasol;2020-02;Argentina / mercado interno — ROSARIO;Precio interno mensual;ARS;TN;mensual;1;14836.67;14836.67
