commodity;fuente;mercado;tipo_precio;moneda;unidad;frecuencia;filas;fecha_min;fecha_max;meses_observados;meses_esperados;meses_faltantes;precios_validos;precios_faltantes;precios_cero;precios_negativos;aptitud_dashboard
Cebada forrajera;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;30;2020-01-01;2025-04-01;30;64;34;30;0;0;0;apta con brechas
Cebada forrajera;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;25;2023-04-01;2026-02-01;25;35;10;25;0;0;0;apta con brechas
Girasol;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;17;2020-03-01;2024-06-01;17;52;35;17;0;0;0;apta con brechas
Girasol;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;18;2020-01-01;2025-04-01;18;64;46;18;0;0;0;apta con brechas
Girasol;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — ROSARIO;Precio interno mensual;ARS;TN;mensual;51;2020-01-01;2026-08-01;51;80;29;51;0;0;0;apta con brechas
Maíz;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;30;2020-01-01;2025-10-01;30;70;40;30;0;0;0;apta con brechas
Maíz;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;25;2020-08-01;2025-08-01;25;61;36;25;0;0;0;apta con brechas
Maíz;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — ROSARIO;Precio interno mensual;ARS;TN;mensual;77;2020-01-01;2026-08-01;77;80;3;77;0;0;0;apta con brechas
Soja;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;24;2020-04-01;2025-12-01;24;69;45;24;0;0;0;apta con brechas
Soja;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;25;2022-08-01;2025-12-01;25;41;16;25;0;0;0;apta con brechas
Soja;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — ROSARIO;Precio interno mensual;ARS;TN;mensual;74;2020-01-01;2026-08-01;74;80;6;74;0;0;0;apta con brechas
Sorgo;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — ROSARIO;Precio interno mensual;ARS;TN;mensual;69;2020-03-01;2026-08-01;69;78;9;69;0;0;0;apta con brechas
Trigo;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — B.BLANCA;Precio interno mensual;ARS;TN;mensual;23;2020-01-01;2025-09-01;23;69;46;23;0;0;0;apta con brechas
Trigo;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — CORDOBA;Precio interno mensual;ARS;TN;mensual;76;2020-01-01;2026-08-01;76;80;4;76;0;0;0;apta con brechas
Trigo;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — DARSENA;Precio interno mensual;ARS;TN;mensual;13;2020-02-01;2024-05-01;13;52;39;13;0;0;0;apta con brechas
Trigo;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — QUEQUEN;Precio interno mensual;ARS;TN;mensual;19;2021-10-01;2026-02-01;19;53;34;19;0;0;0;apta con brechas
Trigo;Secretaría de Agricultura - Precios Internos de los Principales Granos;Argentina / mercado interno — ROSARIO;Precio interno mensual;ARS;TN;mensual;72;2020-01-01;2026-08-01;72;80;8;72;0;0;0;apta con brechas
