fecha;año;mes;commodity;moneda;unidad;tipo_precio;condicion_comercial;fuente;operaciones;precio_promedio;precio_mediana;precio_min;precio_max;volumen_total;precio_ponderado_volumen;procedencias;lugares_entrega
2026-03-12;2026;3;CEBADA CERV.;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;3;208.333333;210;205;210;333.48;207.548878;BUENOS AIRES;B.Blanca/En destino|Rosario S/En destino
2026-03-12;2026;3;CEBADA FORR.;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;4;274692.25;279871;255000;284027;1200;281846.725;BUENOS AIRES|LA PAMPA;B.Blanca/En destino|Quequen/En destino|Zona 7/En destino
2026-03-12;2026;3;CEBADA FORR.;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;5;201.2;200;200;205;2980;201.298658;BUENOS AIRES;B.Blanca/En destino|Quequen/En destino
2026-03-12;2026;3;Girasol;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;1;540930;540930;540930;540930;101.72;540930;BUENOS AIRES;Zona 25/En destino
2026-03-12;2026;3;Girasol;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;44;358.718182;360;300;380;4802.46;359.909963;BUENOS AIRES|CIUDAD AUTÓNOMA DE BUENOS AIRES|CÓRDOBA|LA PAMPA|SAN LUIS|SANTA FE;Quequen/En destino|Rosario N/En destino|Rosario S/En destino|Zona 25/En destino|Zona 25/En origen
2026-03-12;2026;3;Maíz;ARS;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;1;268096;268096;268096;268096;760.72;268096;SANTA FE;Rosario N/En destino
2026-03-12;2026;3;Maíz;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;28;250846.75;255271.5;226735;257235;7640.97;249657.930734;BUENOS AIRES|CIUDAD AUTÓNOMA DE BUENOS AIRES|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SAN LUIS|SANTA FE;Rosario N/En destino|Rosario S/En destino|Zona 10/En destino|Zona 13/En destino|Zona 4/En destino|Zona 6/En destino|Zona 7/En destino
2026-03-12;2026;3;Maíz;USD;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;5;189.8;193;183;195;1518.61;190.921718;CÓRDOBA|SANTA FE;Rosario N/En destino|Rosario S/En destino
2026-03-12;2026;3;Maíz;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;145;187.469241;185;183;200;75385.96;188.329672;BUENOS AIRES|CHACO|CIUDAD AUTÓNOMA DE BUENOS AIRES|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SALTA|SAN LUIS|SANTA FE|SANTIAGO DEL ESTERO;B.Blanca/En destino|Cordoba/En destino|Quequen/En destino|Quequen/En origen|Rosario N/En destino|Rosario S/En destino|Zona 10/En destino|Zona 15/En destino|Zona 17/En destino|Zona 17/En origen|Zona 5/En destino|Zona 5/En origen|Zona 6/En destino|Zona 7/En destino|Zona 8/En destino|Zona 9/En destino
2026-03-12;2026;3;Soja;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;80;471125.525;470000;428435;479750;15149.59;471967.303884;BUENOS AIRES|CIUDAD AUTÓNOMA DE BUENOS AIRES|CÓRDOBA|ENTRE RÍOS|SANTA FE|SANTIAGO DEL ESTERO;Rosario N/En destino|Rosario S/En destino|Zona 5/En destino|Zona 6/En destino|Zona 7/En destino|Zona 8/En destino|Zona 9/En destino
2026-03-12;2026;3;Soja;USD;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;1;345;345;345;345;35;345;CÓRDOBA;Rosario S/En destino
2026-03-12;2026;3;Soja;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;26;324.831538;324.605;318;342.61;10240;324.523184;BUENOS AIRES|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SALTA|SANTA FE;B.Blanca/En destino|Rosario N/En destino|Zona 13/En destino|Zona 5/En destino|Zona 7/En destino
2026-03-12;2026;3;Sorgo;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;3;196.666667;200;190;200;410;199.268293;CÓRDOBA|SANTA FE;Rosario N/En destino|Rosario S/En destino
2026-03-12;2026;3;TRIGO PAN;ARS;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;1;272000;272000;272000;272000;60;272000;CÓRDOBA;Rosario N/En destino
2026-03-12;2026;3;TRIGO PAN;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;31;263374.935484;261000;236900;345000;5311.13;272988.835333;BUENOS AIRES|CIUDAD AUTÓNOMA DE BUENOS AIRES|CÓRDOBA|ENTRE RÍOS|SANTA FE;B.Blanca/En destino|Bs As/En destino|Cordoba/En destino|Rosario N/En destino|Rosario S/En destino|Zona 12/En destino|Zona 13/En destino|Zona 4/En destino|Zona 5/En destino|Zona 6/En destino|Zona 8/En destino|Zona 9/En destino
2026-03-12;2026;3;TRIGO PAN;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;26;205.579231;205;183;250;14745.65;212.115385;BUENOS AIRES|CÓRDOBA|ENTRE RÍOS|SANTA FE;B.Blanca/En destino|Quequen/En destino|Rosario N/En destino|Rosario S/En destino|Zona 5/En destino|Zona 6/En destino
2026-03-13;2026;3;ACEITE SOJA;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;2;1179000;1179000;1058000;1300000;46.03;1100217.24962;ENTRE RÍOS|SANTA FE;Zona 13/En destino|Zona 13/En origen
2026-03-13;2026;3;ACEITE SOJA;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;7;970;960;940;995;360.26;968.491367;BUENOS AIRES|ENTRE RÍOS|SANTA FE;Zona 13/En destino|Zona 18/En destino|Zona 18/En origen|Zona 6/En destino
2026-03-13;2026;3;ARROZ C.L.A;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;4;370000;370000;370000;370000;60.33;370000;ENTRE RÍOS;Zona 13/En destino
2026-03-13;2026;3;ARROZ C.L.F;ARS;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;9;253333.333333;250000;250000;260000;142.69;257268.203798;ENTRE RÍOS;Zona 13/En destino
2026-03-13;2026;3;ARROZ C.L.F;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;2;250000;250000;250000;250000;20.78;250000;ENTRE RÍOS;Zona 13/En destino
2026-03-13;2026;3;CEBADA CERV.;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;15;196.133333;195;176.75;220;3139.52;197.977585;BUENOS AIRES;B.Blanca/En destino|Quequen/En destino|Rosario S/En destino
2026-03-13;2026;3;CEBADA FORR.;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;1;295112;295112;295112;295112;200;295112;LA PAMPA;B.Blanca/En destino
2026-03-13;2026;3;CEBADA FORR.;USD;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;1;210.87;210.87;210.87;210.87;1000;210.87;BUENOS AIRES;Quequen/En destino
2026-03-13;2026;3;CEBADA FORR.;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;43;198.930233;200;170;205;9621.81;199.762325;BUENOS AIRES|SANTA FE;B.Blanca/En destino|Quequen/En destino|Zona 2/En destino|Zona 3/En destino
2026-03-13;2026;3;Girasol;ARS;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;11;519764.090909;507924;462148;600097;171.57;550179.929242;BUENOS AIRES|CHACO|SAN LUIS|SANTA FE;Rosario S/En destino|Zona 25/En destino
2026-03-13;2026;3;Girasol;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;55;530980.654545;539330;471070;600097;5828.63;523608.059868;BUENOS AIRES|CHACO|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SANTA FE|SANTIAGO DEL ESTERO;Rosario N/En destino|Rosario S/En destino|Zona 25/En destino|Zona 25/En origen
2026-03-13;2026;3;Girasol;USD;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;8;369.535;369.14;360;380;692;367.655491;BUENOS AIRES|CHACO|SAN LUIS|SANTA FE;Quequen/En destino|Rosario S/En destino
2026-03-13;2026;3;Girasol;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;218;366.7;360;310;400;23835.69;366.802176;BUENOS AIRES|CHACO|CÓRDOBA|LA PAMPA|SAN LUIS|SANTA FE;B.Blanca/En destino|Bs As/En destino|Quequen/En destino|Rosario N/En destino|Rosario N/En origen|Rosario S/En destino|Zona 25/En destino|Zona 25/En origen
2026-03-13;2026;3;Maíz;ARS;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;34;250152.764706;249400;229211;256320;3039.94;254262.352652;BUENOS AIRES|CÓRDOBA|ENTRE RÍOS|SANTA FE;Rosario N/En destino|Rosario S/En destino|Zona 11/En destino|Zona 12/En destino|Zona 13/En destino|Zona 18/En destino|Zona 6/En destino|Zona 8/En destino|Zona 9/En destino
2026-03-13;2026;3;Maíz;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;329;247500.337386;250300;1000;313123;45117.62;254288.055447;BUENOS AIRES|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SALTA|SANTA FE|SANTIAGO DEL ESTERO;B.Blanca/En destino|Bs As/En destino|Cordoba/En destino|Cordoba/En origen|Quequen/En destino|Rosario N/En destino|Rosario N/En origen|Rosario S/En destino|Zona 1/En origen|Zona 10/En destino|Zona 11/En destino|Zona 12/En destino|Zona 13/En destino|Zona 14/En destino|Zona 14/En origen|Zona 15/En origen|Zona 16/En destino|Zona 17/En origen|Zona 18/En destino|Zona 18/En origen|Zona 2/En destino|Zona 4/En destino|Zona 5/En destino|Zona 6/En destino|Zona 6/En origen|Zona 7/En destino|Zona 8/En destino|Zona 8/En origen|Zona 9/En destino|Zona 9/En origen
2026-03-13;2026;3;Maíz;USD;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;105;188.547429;185;180;216.72;20037.81;188.063872;BUENOS AIRES|CATAMARCA|CÓRDOBA|ENTRE RÍOS|JUJUY|LA PAMPA|SAN LUIS|SANTA FE|SANTIAGO DEL ESTERO;B.Blanca/En destino|Rosario N/En destino|Rosario S/En destino|Zona 12/En destino|Zona 2/En destino|Zona 5/En destino
2026-03-13;2026;3;Maíz;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;629;186.681892;185;160;202;348723.62;187.085441;BUENOS AIRES|CATAMARCA|CHACO|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SALTA|SAN LUIS|SANTA FE|SANTIAGO DEL ESTERO|TUCUMÁN;B.Blanca/En destino|Cordoba/En destino|Quequen/En destino|Rosario N/En destino|Rosario S/En destino|Zona 10/En destino|Zona 11/En destino|Zona 12/En destino|Zona 13/En destino|Zona 13/En origen|Zona 14/En destino|Zona 15/En destino|Zona 16/En destino|Zona 2/En destino|Zona 4/En destino|Zona 5/En destino|Zona 6/En destino|Zona 7/En destino|Zona 8/En destino|Zona 9/En destino
2026-03-13;2026;3;Soja;ARS;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;25;331364.4;465000;480;479750;984.42;361934.919039;BUENOS AIRES|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SANTA FE|SANTIAGO DEL ESTERO;Rosario S/En destino|Zona 12/En destino|Zona 13/En destino|Zona 14/En destino|Zona 14/En origen|Zona 18/En destino
2026-03-13;2026;3;Soja;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;402;458258.721393;469620;338;495000;34347.48;451828.106862;BUENOS AIRES|CATAMARCA|CHACO|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SALTA|SAN LUIS|SANTA FE|SANTIAGO DEL ESTERO|TUCUMÁN;B.Blanca/En destino|Cordoba/En destino|Quequen/En destino|Rosario N/En destino|Rosario S/En destino|Zona 1/En destino|Zona 10/En destino|Zona 11/En destino|Zona 12/En destino|Zona 13/En destino|Zona 14/En destino|Zona 14/En origen|Zona 15/En destino|Zona 15/En origen|Zona 16/En destino|Zona 18/En destino|Zona 2/En destino|Zona 4/En destino|Zona 6/En destino|Zona 6/En origen|Zona 7/En destino|Zona 8/En destino|Zona 9/En destino
2026-03-13;2026;3;Soja;USD;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;49;332.041429;326;318.78;361.49;13429.16;324.277762;BUENOS AIRES|CATAMARCA|CHACO|CÓRDOBA|ENTRE RÍOS|SALTA|SANTA FE|SANTIAGO DEL ESTERO|TUCUMÁN;Quequen/En destino|Rosario N/En destino|Rosario S/En destino|Zona 11/En destino|Zona 12/En destino|Zona 16/En destino|Zona 5/En destino
2026-03-13;2026;3;Soja;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;122;326.09959;323;294.92;365;67205.38;325.404249;BUENOS AIRES|CHACO|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SALTA|SANTA FE|SANTIAGO DEL ESTERO|TUCUMÁN;Cordoba/En destino|Quequen/En destino|Rosario N/En destino|Rosario S/En destino|Zona 10/En destino|Zona 12/En destino|Zona 13/En destino|Zona 15/En destino|Zona 16/En destino|Zona 2/En destino|Zona 3/En destino|Zona 5/En destino|Zona 6/En destino|Zona 7/En destino|Zona 8/En destino|Zona 9/En destino
2026-03-13;2026;3;Sorgo;ARS;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;1;263530;263530;263530;263530;29.12;263530;ENTRE RÍOS;Zona 18/En destino
2026-03-13;2026;3;Sorgo;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;2;263387.5;263387.5;263245;263530;73.96;263259.026501;ENTRE RÍOS|SANTA FE;Rosario S/En destino|Zona 18/En destino
2026-03-13;2026;3;Sorgo;USD;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;1;190;190;190;190;30;190;BUENOS AIRES;Rosario S/En destino
2026-03-13;2026;3;Sorgo;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;17;193.347059;191.9;175;200;5845;192.883832;CHACO|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SANTA FE;Rosario N/En destino|Rosario S/En destino|Zona 12/En destino
2026-03-13;2026;3;TRIGO CAND.;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;10;232896.9;277250;42040;361255;1032.62;271986.511786;BUENOS AIRES|CÓRDOBA|ENTRE RÍOS;B.Blanca/En destino|Bs As/En destino|Zona 6/En destino|Zona 8/En destino
2026-03-13;2026;3;TRIGO PAN;ARS;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;11;257327.272727;254500;253500;282000;182.73;263625.343403;BUENOS AIRES|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SANTA FE;B.Blanca/En destino|Rosario N/En destino|Zona 11/En destino|Zona 13/En destino|Zona 18/En destino|Zona 6/En destino
2026-03-13;2026;3;TRIGO PAN;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;173;257053.323699;253800;200;390000;21341.74;263644.014742;BUENOS AIRES|CHACO|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SANTA FE|SANTIAGO DEL ESTERO;B.Blanca/En destino|Bs As/En destino|Cordoba/En destino|Cordoba/En origen|Quequen/En destino|Rosario N/En destino|Rosario S/En destino|Zona 10/En destino|Zona 11/En destino|Zona 12/En destino|Zona 13/En destino|Zona 14/En destino|Zona 15/En destino|Zona 16/En destino|Zona 17/En destino|Zona 2/En destino|Zona 3/En destino|Zona 5/En destino|Zona 6/En destino|Zona 7/En destino|Zona 8/En destino|Zona 9/En destino
2026-03-13;2026;3;TRIGO PAN;USD;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;19;198.58;198.3;180;230.81;2683.28;197.657437;BUENOS AIRES|CHACO|CÓRDOBA|ENTRE RÍOS|SANTA FE;B.Blanca/En destino|Quequen/En destino|Rosario N/En destino|Rosario S/En destino|Zona 2/En destino|Zona 6/En destino
2026-03-13;2026;3;TRIGO PAN;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;141;197.347305;200;160;235;49415.51;206.961534;BUENOS AIRES|CIUDAD AUTÓNOMA DE BUENOS AIRES|CÓRDOBA|ENTRE RÍOS|LA PAMPA|SANTA FE|SANTIAGO DEL ESTERO;B.Blanca/En destino|Bs As/En destino|Quequen/En destino|Rosario N/En destino|Rosario S/En destino|Zona 12/En destino|Zona 13/En destino|Zona 2/En destino|Zona 5/En destino|Zona 7/En destino|Zona 8/En destino
2026-03-16;2026;3;ACEITE SOJA;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;14;960.357143;960;920;995;851.76;955.530314;BUENOS AIRES|CÓRDOBA|ENTRE RÍOS|SANTA FE;Bs As/En origen|Cordoba/En destino|Zona 13/En origen|Zona 18/En destino|Zona 18/En origen|Zona 6/En destino|Zona 6/En origen|Zona 7/En destino
2026-03-16;2026;3;ARROZ C.L.F;ARS;TN;Canje;Sin especificar;SIO Granos / Secretaría de Agricultura;1;256162;256162;256162;256162;270.96;256162;FORMOSA;Zona 18/En destino
2026-03-16;2026;3;CEBADA CERV.;USD;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;14;214.607143;214.25;205;222;6595.2;214.707969;BUENOS AIRES|CIUDAD AUTÓNOMA DE BUENOS AIRES;B.Blanca/En destino|Quequen/En destino|Rosario S/En destino
2026-03-16;2026;3;CEBADA FORR.;ARS;TN;Compraventa;Sin especificar;SIO Granos / Secretaría de Agricultura;2;288918;288918;284335;293501;470;289600.574468;BUENOS AIRES;Quequen/En destino
