año;mes;periodo_ym;commodity;moneda;unidad;tipo_precio;fuente;operaciones;precio_promedio;precio_mediana;precio_min;precio_max;volumen_total;precio_ponderado_volumen;dias_con_datos;variacion_mensual_pct;variacion_interanual_pct
2026;3;2026-03;ACEITE SOJA;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;6;1274666.666667;1300000;1058000;1450000;74.84;1180652.057723;5;;
2026;3;2026-03;ACEITE SOJA;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;1;960;960;960;960;30;960;1;;
2026;3;2026-03;ACEITE SOJA;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;56;964.033036;970;500;1050;3317.38;969.055848;11;;
2026;3;2026-03;ARROZ C.L.A;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;2;380000;380000;380000;380000;5.97;380000;2;;
2026;3;2026-03;ARROZ C.L.A;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;10;412381.3;375000;370000;700000;1049.96;638450.525487;5;;
2026;3;2026-03;ARROZ C.L.F;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;47;244173.659574;240000;240000;260000;1529.08;246303.434431;9;;
2026;3;2026-03;ARROZ C.L.F;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;29;251840.275862;250000;220000;305000;9574.8;255045.27996;9;;
2026;3;2026-03;CEBADA CERV.;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;4;214.7375;215;208.95;220;719.52;211.070436;2;;
2026;3;2026-03;CEBADA CERV.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;128;211.788047;215;176.75;230;43770.96;212.867681;13;;
2026;3;2026-03;CEBADA FORR.;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;47;282065.361702;284335;215000;299512;19587.38;286746.906426;13;;
2026;3;2026-03;CEBADA FORR.;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;20;204.1745;205;175;215.84;5261.55;205.34746;10;;
2026;3;2026-03;CEBADA FORR.;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;415;202.747566;205;170;215;110695.87;204.153047;13;;
2026;3;2026-03;Girasol;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;114;528231.236842;533715;447360;600097;3379.14;532531.985511;14;;
2026;3;2026-03;Girasol;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;1752;534064.700913;538745;198;668022;103105.71;532941.761144;15;;
2026;3;2026-03;Girasol;USD;TN;Canje;SIO Granos / Secretaría de Agricultura;152;363.417434;360;182;411.77;16611.02;360.077081;12;;
2026;3;2026-03;Girasol;USD;TN;Compraventa;SIO Granos / Secretaría de Agricultura;2663;362.70849;360;30;460;401875.56;366.085748;17;;
2026;3;2026-03;Maíz;ARS;TN;Canje;SIO Granos / Secretaría de Agricultura;628;243637.184713;243850;198055;284900;63126.95;248870.920131;16;;
2026;3;2026-03;Maíz;ARS;TN;Compraventa;SIO Granos / Secretaría de Agricultura;5297;242510.867661;243150;180;465000;807610.82;247346.027542;17;;
