commodity;moneda;unidad;tipo_precio;año;mes;periodo_ym;precio_mediana;variacion_mensual_pct;estado
ACEITE SOJA;ARS;TN;Compraventa;2026;3;2026-03;1300000;;Sin dato
ACEITE SOJA;USD;TN;Canje;2026;3;2026-03;960;;Sin dato
ACEITE SOJA;USD;TN;Compraventa;2026;3;2026-03;970;;Sin dato
ARROZ C.L.A;ARS;TN;Canje;2026;3;2026-03;380000;;Sin dato
ARROZ C.L.A;ARS;TN;Compraventa;2026;3;2026-03;375000;;Sin dato
ARROZ C.L.F;ARS;TN;Canje;2026;3;2026-03;240000;;Sin dato
ARROZ C.L.F;ARS;TN;Compraventa;2026;3;2026-03;250000;;Sin dato
CEBADA CERV.;USD;TN;Canje;2026;3;2026-03;215;;Sin dato
CEBADA CERV.;USD;TN;Compraventa;2026;3;2026-03;215;;Sin dato
CEBADA FORR.;ARS;TN;Compraventa;2026;3;2026-03;284335;;Sin dato
CEBADA FORR.;USD;TN;Canje;2026;3;2026-03;205;;Sin dato
CEBADA FORR.;USD;TN;Compraventa;2026;3;2026-03;205;;Sin dato
Girasol;ARS;TN;Canje;2026;3;2026-03;533715;;Sin dato
Girasol;ARS;TN;Compraventa;2026;3;2026-03;538745;;Sin dato
Girasol;USD;TN;Canje;2026;3;2026-03;360;;Sin dato
Girasol;USD;TN;Compraventa;2026;3;2026-03;360;;Sin dato
Maíz;ARS;TN;Canje;2026;3;2026-03;243850;;Sin dato
Maíz;ARS;TN;Compraventa;2026;3;2026-03;243150;;Sin dato
Maíz;USD;TN;Canje;2026;3;2026-03;190;;Sin dato
Maíz;USD;TN;Compraventa;2026;3;2026-03;185;;Sin dato
Soja;ARS;TN;Canje;2026;3;2026-03;470000;;Sin dato
Soja;ARS;TN;Compraventa;2026;3;2026-03;475000;;Sin dato
Soja;USD;TN;Canje;2026;3;2026-03;339.68;;Sin dato
Soja;USD;TN;Compraventa;2026;3;2026-03;325;;Sin dato
Sorgo;ARS;TN;Canje;2026;3;2026-03;249971;;Sin dato
Sorgo;ARS;TN;Compraventa;2026;3;2026-03;261500;;Sin dato
Sorgo;USD;TN;Canje;2026;3;2026-03;198;;Sin dato
Sorgo;USD;TN;Compraventa;2026;3;2026-03;190;;Sin dato
TRIGO CAND.;ARS;TN;Compraventa;2026;3;2026-03;278200;;Sin dato
TRIGO CAND.;USD;TN;Compraventa;2026;3;2026-03;210;;Sin dato
TRIGO PAN;ARS;TN;Canje;2026;3;2026-03;253820;;Sin dato
TRIGO PAN;ARS;TN;Compraventa;2026;3;2026-03;255500;;Sin dato
TRIGO PAN;USD;TN;Canje;2026;3;2026-03;200;;Sin dato
TRIGO PAN;USD;TN;Compraventa;2026;3;2026-03;205;;Sin dato
ACEITE SOJA;ARS;TN;Compraventa;2026;4;2026-04;1240000;-4.615385;Estable
ACEITE SOJA;USD;TN;Canje;2026;4;2026-04;980;2.083333;Estable
ACEITE SOJA;USD;TN;Compraventa;2026;4;2026-04;980;1.030928;Estable
ARROZ C.L.A;ARS;TN;Canje;2026;4;2026-04;360000;-5.263158;Baja
ARROZ C.L.A;ARS;TN;Compraventa;2026;4;2026-04;400000;6.666667;Suba moderada
