commodity;moneda;unidad;tipo_precio;fecha_ultima;precio_mediana_ultimo_dia;precio_promedio_ultimo_dia;operaciones_ultimo_dia;volumen_ultimo_dia;variacion_7d_pct;variacion_30d_pct;estado
ACEITE SOJA;ARS;TN;Precio Hecho;2026-09-15;1165400;1165400;1;35.96;;;Sin dato
ACEITE SOJA;USD;TN;Precio Hecho;2026-09-09;995;995;1;750;;;Sin dato
CEBADA FORR.;USD;TN;Precio Hecho;2026-09-18;210;210;1;75;0;;Estable
Girasol;ARS;TN;Precio Hecho;2026-09-17;50000;50000;1;29.96;;;Sin dato
Girasol;USD;TN;Precio Hecho;2026-09-22;400;400;2;120;-11.111111;;Baja
Maíz;ARS;TN;Precio Hecho;2026-09-22;301000;301000;1;259.23;1.689189;;Estable
Maíz;USD;TN;Precio Hecho;2026-09-22;210;197.2475;8;3448.48;6.342575;;Suba moderada
Soja;ARS;TN;Precio Hecho;2026-09-22;492000;492000;1;300;-12.142857;;Baja
Soja;USD;TN;Precio Hecho;2026-09-22;378;378;1;60;4.834013;;Estable
Sorgo;USD;TN;Precio Hecho;2026-09-18;195;195;2;379.38;;;Sin dato
TRIGO PAN;ARS;TN;Precio Hecho;2026-09-22;330000;330000;1;210;-9.589041;;Baja
TRIGO PAN;USD;TN;Precio Hecho;2026-09-22;225;225;1;392.83;2.272727;;Estable
