fecha;año;mes;commodity;fuente;mercado;tipo_precio;precio_tipo_original;precio_unidad;precio_total;campo_precio_original;valor_precio_original;precio_original_texto;moneda;moneda_explicitamente_informada;moneda_inferida;campo_moneda_original;valor_moneda_original;unidad;precio;volumen;volumen_unidad;campo_volumen_original;procedencia;provincia;localidad;zona;lugar_entrega;precio_puesto_en;operacion;condicion_pago;condicion_comercial;frecuencia;archivo_origen;fecha_integracion;observaciones;apto_piloto;apto_dashboard;pagina_origen;id_operacion_sio;muestra_tipo;muestra_paginas;estado_paginacion;precio_cero_flag;precio_cero_tipo;precio_valido_para_serie
2026-09-07;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;190;;PRECIO/TN MONTO;190,00;190,00;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;190;40,00;TN;CANT. (TN);SANTA FE;SANTA FE;;Zona 12/En destino;Zona 12/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;355;;PRECIO/TN MONTO;355,00;355,00;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;355;240,00;TN;CANT. (TN);BUENOS AIRES;BUENOS AIRES;;Quequen/En destino;Quequen/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Canje;Precio Hecho;520000;;PRECIO/TN MONTO;520000,00;520000,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;520000;30,34;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Zona 9/En destino;Zona 9/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;TRIGO PAN;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;346484;;PRECIO/TN MONTO;346484,00;346484,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;346484;40,00;TN;CANT. (TN);SANTA FE;SANTA FE;;Zona 14/En destino;Zona 14/En destino;;Anulación;A plazo;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;"commodity no catalogado; se conserva para revisión; moneda informada explícitamente en campo original: ARS";sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;Soja;SIO Granos / Secretaría de Agricultura;;Compraventa;Fijar Precio/Prec. Cam.;0;;PRECIO/TN MONTO;0;0;Sin especificar;no;no;PRECIO/TN MONEDA;0;TN;0;500,00;TN;CANT. (TN);SANTA FE;SANTA FE;;Rosario S/En destino;Rosario S/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;"precio cero clasificado como cero_explicito; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";sí;no;;;exportacion_manual;1;no_aplica;sí;cero_explicito;no
2026-09-07;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Compraventa;Fijar Precio/Prec. Cam.;0;;PRECIO/TN MONTO;0;0;Sin especificar;no;no;PRECIO/TN MONEDA;0;TN;0;500,00;TN;CANT. (TN);SANTA FE;SANTA FE;;Zona 4/En destino;Zona 4/En destino;;Rectificación;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;"precio cero clasificado como operacion_sin_precio; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";sí;no;;;exportacion_manual;1;no_aplica;sí;operacion_sin_precio;no
2026-09-07;2026;9;Girasol;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;500;;PRECIO/TN MONTO;500,00;500,00;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;500;120,00;TN;CANT. (TN);BUENOS AIRES;BUENOS AIRES;;Rosario S/En destino;Rosario S/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: USD;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;Maíz;SIO Granos / Secretaría de Agricultura;;Canje;Precio Hecho;265050;;PRECIO/TN MONTO;265050,00;265050,00;ARS;sí;no;PRECIO/TN MONEDA;$;TN;265050;14,99;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Zona 9/En destino;Zona 9/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;moneda informada explícitamente en campo original: ARS;sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
2026-09-07;2026;9;TRIGO PAN;SIO Granos / Secretaría de Agricultura;;Compraventa;Fijar Precio/Otros;0;;PRECIO/TN MONTO;0;0;Sin especificar;no;no;PRECIO/TN MONEDA;0;TN;0;59,05;TN;CANT. (TN);CÓRDOBA;CÓRDOBA;;Zona 8/En destino;Zona 8/En destino;;Rectificación;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;"commodity no catalogado; se conserva para revisión; precio cero clasificado como operacion_sin_precio; excluido de series de precios; moneda no informada explícitamente en endpoint GetOperaciones; no se infiere del valor original";sí;no;;;exportacion_manual;1;no_aplica;sí;operacion_sin_precio;no
2026-09-07;2026;9;CEBADA FORR.;SIO Granos / Secretaría de Agricultura;;Compraventa;Precio Hecho;220;;PRECIO/TN MONTO;220,00;220,00;USD;sí;no;PRECIO/TN MONEDA;U$S;TN;220;500,00;TN;CANT. (TN);BUENOS AIRES;BUENOS AIRES;;B.Blanca/En destino;B.Blanca/En destino;;Contrato;Contra entrega;;;SIO_exportar_operaciones_2026-09-07.csv;2026-09-08;"commodity no catalogado; se conserva para revisión; moneda informada explícitamente en campo original: USD";sí;no;;;exportacion_manual;1;no_aplica;no;no_aplica;sí
