commodity;moneda;unidad;filas;precio_min;precio_promedio;precio_mediana;precio_max;fecha_min;fecha_max
ACEITE SOJA;ARS;TN;59;1.05806;70678.293823;1.4506;938355;2026-03-13;2026-09-04
ACEITE SOJA;USD;TN;650;95;955.880892;960;1090.8;2026-03-13;2026-09-07
ARROZ C.L.A;ARS;TN;235;200000;388705.382979;400000;750000;2026-03-13;2026-09-02
ARROZ C.L.F;ARS;TN;816;1267;269070.85049;255292;792000;2026-03-13;2026-09-02
CEBADA CERV.;ARS;TN;2;170000;235000;235000;300000;2026-07-06;2026-08-13
CEBADA CERV.;USD;TN;1708;175;220.994836;224.41;278;2026-03-12;2026-09-07
CEBADA FORR.;ARS;TN;256;190;273562.4375;285432.5;315420;2026-03-12;2026-09-03
CEBADA FORR.;USD;TN;3062;135;203.336336;205;320;2026-03-12;2026-09-07
Girasol;ARS;TN;9667;198;587763.140478;580900;910734;2026-03-12;2026-09-04
Girasol;USD;TN;12561;30;393.137737;380;1210;2026-03-12;2026-09-07
Maíz;ARS;TN;65546;156;259302.698137;262600;565000;2026-03-12;2026-09-07
Maíz;USD;TN;45819;10;190.153332;189.88;1000;2026-03-12;2026-09-07
Soja;ARS;TN;133684;184.6;468693.690645;465000;750000;2026-03-12;2026-09-07
Soja;USD;TN;20073;90;334.603238;330;823;2026-03-12;2026-09-07
Sorgo;ARS;TN;2143;130;265369.29958;271940;495000;2026-03-13;2026-09-07
Sorgo;USD;TN;2870;104.78;190.437052;190;450;2026-03-12;2026-09-04
TRIGO CAND.;ARS;TN;185;42040;316563.064865;303240;439956;2026-03-13;2026-09-04
TRIGO CAND.;USD;TN;12;152.1;258.585;246.82;381.25;2026-03-27;2026-09-04
TRIGO PAN;ARS;TN;28997;200;295966.994196;295000;560000;2026-03-12;2026-09-07
TRIGO PAN;USD;TN;23255;60;218.686389;220;380;2026-03-12;2026-09-07
