commodity;moneda;procedencia;filas;precio_min;precio_promedio;precio_mediana;precio_max;fecha_min;fecha_max;volumen_total
ACEITE SOJA;ARS;BUENOS AIRES;1;1406;1406;1406;1406;2026-05-05;2026-05-05;30
ACEITE SOJA;ARS;CÓRDOBA;4;1.209071;1.230798;1.234016;1.246091;2026-05-26;2026-08-20;117.5
ACEITE SOJA;ARS;ENTRE RÍOS;40;1.150706;588.372139;1.45633;1306;2026-03-13;2026-09-04;432.94
ACEITE SOJA;ARS;SANTA FE;14;1.05806;296076.680485;1.354001;938355;2026-03-13;2026-08-31;737.68
ACEITE SOJA;USD;BUENOS AIRES;174;277;940.833333;950;1050;2026-03-13;2026-09-07;6013.21
ACEITE SOJA;USD;CHACO;7;800;935.714286;950;980;2026-03-31;2026-08-01;210
ACEITE SOJA;USD;CÓRDOBA;86;95;947.33814;960;1015;2026-03-16;2026-09-05;5763.32
ACEITE SOJA;USD;ENTRE RÍOS;193;910;964.020725;970;1000;2026-03-13;2026-09-05;6781.52
ACEITE SOJA;USD;SANTA FE;190;880;966.002632;970;1090.8;2026-03-13;2026-09-07;28842.3
ARROZ C.L.A;ARS;CORRIENTES;24;304000;419106.916667;389620;750000;2026-03-26;2026-08-31;4848.02
ARROZ C.L.A;ARS;ENTRE RÍOS;181;200000;380934.088398;400000;460500;2026-03-13;2026-09-02;5262.5
ARROZ C.L.A;ARS;FORMOSA;10;262587;377128.9;396612.5;413813;2026-03-31;2026-08-22;1412.31
ARROZ C.L.A;ARS;SANTA FE;20;397836;428342;421181;476011;2026-04-10;2026-08-06;1677.27
ARROZ C.L.F;ARS;BUENOS AIRES;3;365000;365000;365000;365000;2026-07-29;2026-07-31;360
ARROZ C.L.F;ARS;CORRIENTES;191;200000;266610.225131;250000;792000;2026-03-19;2026-09-02;51700.03
ARROZ C.L.F;ARS;ENTRE RÍOS;570;150000;271044.22807;260000;450000;2026-03-13;2026-09-01;35090.1
ARROZ C.L.F;ARS;FORMOSA;9;1267;237754.888889;260305;384888;2026-03-16;2026-08-22;18725.09
ARROZ C.L.F;ARS;SANTA FE;43;194844;253703.651163;249248;390000;2026-03-31;2026-08-19;4783.51
CEBADA CERV.;ARS;BUENOS AIRES;2;170000;235000;235000;300000;2026-07-06;2026-08-13;32.27
CEBADA CERV.;USD;BUENOS AIRES;1612;175;220.895583;222;278;2026-03-12;2026-09-07;882748.46
CEBADA CERV.;USD;CIUDAD AUTÓNOMA DE BUENOS AIRES;32;200;225.03125;231.75;235;2026-03-16;2026-08-05;27520.64
CEBADA CERV.;USD;CÓRDOBA;11;200;235;236.5;250;2026-03-27;2026-09-04;2726.28
CEBADA CERV.;USD;ENTRE RÍOS;7;189;210.714286;205;242;2026-04-10;2026-08-13;1976.77
CEBADA CERV.;USD;LA PAMPA;9;205;228.611111;232;246.5;2026-05-15;2026-09-03;2649.09
CEBADA CERV.;USD;SANTA FE;37;190;217.756757;220;250;2026-03-20;2026-09-04;24091.53
CEBADA FORR.;ARS;BUENOS AIRES;210;180000;282266.652381;286647.5;315420;2026-03-12;2026-09-03;80365.19
CEBADA FORR.;ARS;CHACO;1;222500;222500;222500;222500;2026-05-12;2026-05-12;30
CEBADA FORR.;ARS;CIUDAD AUTÓNOMA DE BUENOS AIRES;1;286300;286300;286300;286300;2026-06-05;2026-06-05;400
CEBADA FORR.;ARS;CÓRDOBA;4;125000;228325;256650;275000;2026-03-26;2026-06-08;684.76
CEBADA FORR.;ARS;LA PAMPA;36;190000;238506.305556;228500;305515;2026-03-12;2026-08-27;2903.5
CEBADA FORR.;ARS;SANTA FE;4;190;186915;228655;290160;2026-04-01;2026-08-21;498.72
