commodity;moneda;filas;precios_validos;precios_cero;monedas;unidades;fecha_min;fecha_max
ACEITE SOJA;ARS;59;59;0;ARS;TN;2026-03-13;2026-09-04
ACEITE SOJA;USD;650;650;0;USD;TN;2026-03-13;2026-09-07
ARROZ C.L.A;ARS;235;235;0;ARS;TN;2026-03-13;2026-09-02
ARROZ C.L.A;Sin especificar;20;20;20;;TN;2026-03-16;2026-08-21
ARROZ C.L.F;ARS;816;816;0;ARS;TN;2026-03-13;2026-09-02
ARROZ C.L.F;Sin especificar;85;85;85;;TN;2026-03-16;2026-09-07
CEBADA CERV.;ARS;2;2;0;ARS;TN;2026-07-06;2026-08-13
CEBADA CERV.;Sin especificar;289;289;289;;TN;2026-03-13;2026-09-07
CEBADA CERV.;USD;1708;1708;0;USD;TN;2026-03-12;2026-09-07
CEBADA FORR.;ARS;256;256;0;ARS;TN;2026-03-12;2026-09-03
CEBADA FORR.;Sin especificar;247;247;227;;TN;2026-03-13;2026-09-04
CEBADA FORR.;USD;3062;3062;0;USD;TN;2026-03-12;2026-09-07
Girasol;ARS;9667;9667;0;ARS;TN;2026-03-12;2026-09-04
Girasol;Sin especificar;1090;1090;1048;;TN;2026-03-12;2026-09-04
Girasol;USD;12561;12561;0;USD;TN;2026-03-12;2026-09-07
Maíz;ARS;65547;65547;1;ARS;TN;2026-03-12;2026-09-07
Maíz;Sin especificar;16998;16998;14293;;TN;2026-03-12;2026-09-07
Maíz;USD;45819;45819;0;USD;TN;2026-03-12;2026-09-07
Soja;ARS;133684;133684;0;ARS;TN;2026-03-12;2026-09-07
Soja;Sin especificar;19929;19929;18413;;TN;2026-03-12;2026-09-07
Soja;USD;20073;20073;0;USD;TN;2026-03-12;2026-09-07
Sorgo;ARS;2143;2143;0;ARS;TN;2026-03-13;2026-09-07
Sorgo;Sin especificar;405;405;398;;TN;2026-03-16;2026-09-03
Sorgo;USD;2870;2870;0;USD;TN;2026-03-12;2026-09-04
TRIGO CAND.;ARS;185;185;0;ARS;TN;2026-03-13;2026-09-04
TRIGO CAND.;Sin especificar;57;57;57;;TN;2026-03-13;2026-09-04
TRIGO CAND.;USD;12;12;0;USD;TN;2026-03-27;2026-09-04
TRIGO PAN;ARS;28997;28997;0;ARS;TN;2026-03-12;2026-09-07
TRIGO PAN;Sin especificar;6250;6250;5965;;TN;2026-03-13;2026-09-07
TRIGO PAN;USD;23255;23255;0;USD;TN;2026-03-12;2026-09-07
