commodity;filas;precios_validos;precios_cero;monedas;unidades;fecha_min;fecha_max
ACEITE SOJA;709;709;0;ARS|USD;TN;2026-03-13;2026-09-07
ARROZ C.L.A;255;255;20;ARS;TN;2026-03-13;2026-09-02
ARROZ C.L.F;901;901;85;ARS;TN;2026-03-13;2026-09-07
CEBADA CERV.;1999;1999;289;ARS|USD;TN;2026-03-12;2026-09-07
CEBADA FORR.;3565;3565;227;ARS|USD;TN;2026-03-12;2026-09-07
Girasol;23318;23318;1048;ARS|USD;TN;2026-03-12;2026-09-07
Maíz;128364;128364;14294;ARS|USD;TN;2026-03-12;2026-09-07
Soja;173686;173686;18413;ARS|USD;TN;2026-03-12;2026-09-07
Sorgo;5418;5418;398;ARS|USD;TN;2026-03-12;2026-09-07
TRIGO CAND.;254;254;57;ARS|USD;TN;2026-03-13;2026-09-04
TRIGO PAN;58502;58502;5965;ARS|USD;TN;2026-03-12;2026-09-07
